FFT-Momentaufnahme #1	FFT-Momentaufnahme #1	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung
		97.160				-1.293	-6.401	103.084	-0.0309	-0.153	2.461	
		97.180				-1.400	-4.241	109.956	-0.0334	-0.101	2.625	
		97.200	98.72	99.25	-0.53	-1.462	-2.003	111.919	-0.0349	-0.048	2.672	24.9
		97.220				-1.480	0.236	112.901	-0.0353	0.006	2.695	
		97.240				-1.453	2.513	113.883	-0.0347	0.060	2.719	
		97.250	99.00	99.25	-0.25							
		97.260				-1.379	4.791	108.974	-0.0329	0.114	2.602	
		97.280				-1.261	6.872	96.211	-0.0301	0.164	2.297	
		97.300	99.17	99.25	-0.08	-1.104	8.639	77.558	-0.0264	0.206	1.852	24.9
		97.320				-0.916	9.975	56.941	-0.0219	0.238	1.359	
		97.340				-0.705	10.917	34.361	-0.0168	0.261	0.820	
		97.350	99.54	99.25	0.29							
		97.360				-0.479	11.349	6.872	-0.0114	0.271	0.164	
		97.380				-0.251	11.192	-23.562	-0.0060	0.267	-0.562	
		97.400	99.77	99.25	0.52	-0.031	10.407	-53.996	-7.5000E-4	0.248	-1.289	24.9
		97.420				0.165	9.032	-80.503	0.0039	0.216	-1.922	
		97.440				0.330	7.186	-105.047	0.0079	0.172	-2.508	
		97.450	99.65	99.25	0.40							
		97.460				0.452	4.830	-123.700	0.0108	0.115	-2.953	
		97.480				0.523	2.238	-132.536	0.0125	0.053	-3.164	
		97.500	99.33	99.25	0.08	0.542	-0.471	-139.408	0.0129	-0.011	-3.328	24.9
		97.520				0.504	-3.338	-141.372	0.0120	-0.080	-3.375	
		97.540				0.408	-6.126	-127.627	0.0097	-0.146	-3.047	
		97.550	99.01	99.25	-0.24							
		97.560				0.259	-8.443	-101.120	0.0062	-0.202	-2.414	
		97.580				0.071	-10.171	-71.668	0.0017	-0.243	-1.711	
		97.600	98.76	99.25	-0.49	-0.148	-11.310	-40.252	-0.0035	-0.270	-0.961	24.9
		97.620				-0.382	-11.781	-5.890	-0.0091	-0.281	-0.141	
		97.640				-0.619	-11.545	27.489	-0.0148	-0.276	0.656	
		97.650	98.54	99.25	-0.71							
		97.660				-0.844	-10.681	54.978	-0.0201	-0.255	1.313	
		97.680				-1.046	-9.346	78.540	-0.0250	-0.223	1.875	
		97.700	98.55	99.25	-0.70	-1.217	-7.540	98.175	-0.0291	-0.180	2.344	24.9
		97.720				-1.348	-5.419	108.974	-0.0322	-0.129	2.602	
		97.740				-1.434	-3.181	109.956	-0.0342	-0.076	2.625	
		97.750	98.74	99.25	-0.51							
		97.760				-1.475	-1.021	109.956	-0.0352	-0.024	2.625	
		97.780				-1.475	1.217	115.846	-0.0352	0.029	2.766	
		97.800	98.95	99.25	-0.29	-1.426	3.613	112.901	-0.0341	0.086	2.695	24.9
		97.820				-1.330	5.733	100.138	-0.0318	0.137	2.391	
		97.840				-1.197	7.618	87.376	-0.0286	0.182	2.086	
		97.850	99.18	99.25	-0.07							
		97.860				-1.026	9.228	69.704	-0.0245	0.220	1.664	
		97.880				-0.828	10.407	47.124	-0.0198	0.248	1.125	
		97.900	99.56	99.25	0.31	-0.609	11.113	21.598	-0.0146	0.265	0.516	24.9
		97.920				-0.383	11.270	-3.927	-0.0092	0.269	-0.094	
		97.940				-0.159	10.956	-33.379	-0.0038	0.262	-0.797	
		97.950	99.77	99.25	0.52							
		97.960				0.055	9.935	-66.759	0.0013	0.237	-1.594	
		97.980				0.239	8.286	-92.284	0.0057	0.198	-2.203	
		98.000	99.63	99.25	0.39	0.386	6.244	-112.901	0.0092	0.149	-2.695	24.9
		98.020				0.489	3.770	-127.627	0.0117	0.090	-3.047	
		98.040				0.537	1.139	-135.481	0.0128	0.027	-3.234	
		98.050	99.31	99.25	0.06							
		98.060				0.534	-1.649	-141.372	0.0127	-0.039	-3.375	
		98.080				0.471	-4.516	-136.463	0.0112	-0.108	-3.258	
		98.100	99.00	99.25	-0.25	0.353	-7.108	-118.792	0.0084	-0.170	-2.836	24.9
		98.120				0.187	-9.268	-91.303	0.0045	-0.221	-2.180	
		98.140				-0.017	-10.760	-56.941	-4.1250E-4	-0.257	-1.359	
		98.150	98.75	99.25	-0.50							
		98.160				-0.243	-11.545	-25.525	-0.0058	-0.276	-0.609	
		98.180				-0.479	-11.781	4.909	-0.0114	-0.281	0.117	
		98.200	98.53	99.26	-0.73	-0.715	-11.349	38.288	-0.0171	-0.271	0.914	24.9
		98.220				-0.933	-10.249	67.741	-0.0223	-0.245	1.617	
		98.240				-1.125	-8.639	89.339	-0.0269	-0.206	2.133	
		98.250	98.56	99.25	-0.70							
		98.260				-1.279	-6.676	103.084	-0.0305	-0.159	2.461	
		98.280				-1.392	-4.516	111.919	-0.0332	-0.108	2.672	
		98.300	98.76	99.25	-0.49	-1.459	-2.199	113.883	-0.0348	-0.053	2.719	24.9
		98.320				-1.480	0.039	112.901	-0.0353	9.375E-4	2.695	
		98.340				-1.458	2.317	113.883	-0.0348	0.055	2.719	
		98.350	98.97	99.25	-0.28							
		98.360				-1.387	4.595	108.974	-0.0331	0.110	2.602	
		98.380				-1.274	6.676	96.211	-0.0304	0.159	2.297	
		98.400	99.21	99.25	-0.04	-1.120	8.443	77.558	-0.0267	0.202	1.852	24.9
		98.420				-0.936	9.778	57.923	-0.0224	0.233	1.383	
		98.440				-0.729	10.760	37.306	-0.0174	0.257	0.891	
		98.450	99.49	99.25	0.24							
		98.460				-0.506	11.270	10.799	-0.0121	0.269	0.258	
		98.480				-0.278	11.192	-19.635	-0.0066	0.267	-0.469	
		98.500	99.78	99.26	0.52	-0.058	10.485	-50.069	-0.0014	0.250	-1.195	24.9
		98.520				0.141	9.189	-76.576	0.0034	0.219	-1.828	
		98.540				0.309	7.422	-100.138	0.0074	0.177	-2.391	
		98.550	99.70	99.25	0.44							
		98.560				0.438	5.184	-120.755	0.0105	0.124	-2.883	
		98.580				0.517	2.592	-131.554	0.0123	0.062	-3.141	
		98.600	99.28	99.26	0.03	0.542	-0.079	-136.463	0.0129	-0.002	-3.258	24.9
		98.620				0.514	-2.867	-139.408	0.0123	-0.068	-3.328	
		98.640				0.427	-5.655	-128.609	0.0102	-0.135	-3.070	
		98.650	99.05	99.25	-0.20							
		98.660				0.287	-8.011	-106.029	0.0069	-0.191	-2.531	
		98.680				0.107	-9.896	-81.485	0.0025	-0.236	-1.945	
		98.700	98.73	99.25	-0.52	-0.108	-11.270	-46.142	-0.0026	-0.269	-1.102	24.9
		98.720				-0.344	-11.742	-7.854	-0.0082	-0.280	-0.187	
		98.740				-0.578	-11.585	20.617	-0.0138	-0.277	0.492	
		98.750	98.57	99.25	-0.68							
		98.760				-0.807	-10.917	49.087	-0.0193	-0.261	1.172	
		98.780				-1.015	-9.621	75.595	-0.0242	-0.230	1.805	
		98.800	98.56	99.25	-0.70	-1.192	-7.893	95.230	-0.0285	-0.188	2.273	24.9
		98.820				-1.330	-5.812	107.992	-0.0318	-0.139	2.578	
		98.840				-1.425	-3.574	111.919	-0.0340	-0.085	2.672	
		98.850	98.70	99.25	-0.55							
		98.860				-1.473	-1.335	113.883	-0.0352	-0.032	2.719	
		98.880				-1.478	0.982	117.810	-0.0353	0.023	2.812	
		98.900	98.98	99.26	-0.28	-1.434	3.377	114.865	-0.0342	0.081	2.742	24.9
		98.920				-1.343	5.576	103.084	-0.0321	0.133	2.461	
		98.940				-1.211	7.501	89.339	-0.0289	0.179	2.133	
		98.950	99.15	99.25	-0.10							
		98.960				-1.043	9.150	72.649	-0.0249	0.218	1.734	
		98.980				-0.845	10.407	49.087	-0.0202	0.248	1.172	
		99.000	99.52	99.25	0.27	-0.627	11.113	22.580	-0.0150	0.265	0.539	24.9
		99.020				-0.401	11.310	-3.927	-0.0096	0.270	-0.094	
		99.040				-0.174	10.956	-33.379	-0.0042	0.262	-0.797	
		99.050	99.76	99.25	0.51							
		99.060				0.038	9.975	-63.814	9.0000E-4	0.238	-1.523	
		99.080				0.225	8.404	-89.339	0.0054	0.201	-2.133	
		99.100	99.68	99.25	0.43	0.374	6.401	-109.956	0.0089	0.153	-2.625	24.9
		99.120				0.481	4.006	-124.682	0.0115	0.096	-2.977	
		99.140				0.534	1.414	-132.536	0.0127	0.034	-3.164	
		99.150	99.37	99.25	0.11							
		99.160				0.537	-1.296	-139.408	0.0128	-0.031	-3.328	
		99.180				0.482	-4.163	-137.445	0.0115	-0.099	-3.281	
		99.200	99.04	99.26	-0.21	0.371	-6.794	-117.810	0.0088	-0.162	-2.812	24.9
		99.220				0.210	-8.875	-91.303	0.0050	-0.212	-2.180	
		99.240				0.016	-10.446	-64.795	3.7500E-4	-0.249	-1.547	
		99.250	98.80	99.25	-0.45							
		99.260				-0.207	-11.467	-31.416	-0.0050	-0.274	-0.750	
		99.280				-0.443	-11.702	1.963	-0.0106	-0.279	0.047	
		99.300	98.57	99.25	-0.69	-0.675	-11.388	31.416	-0.0161	-0.272	0.750	24.9
		99.320				-0.898	-10.446	62.832	-0.0215	-0.249	1.500	
		99.340				-1.093	-8.875	85.412	-0.0261	-0.212	2.039	
		99.350	98.55	99.26	-0.71							
		99.360				-1.253	-7.029	99.157	-0.0299	-0.168	2.367	
		99.380				-1.374	-4.909	109.956	-0.0328	-0.117	2.625	
		99.400	98.71	99.25	-0.54	-1.450	-2.631	112.901	-0.0346	-0.063	2.695	24.9
		99.420				-1.480	-0.393	113.883	-0.0353	-0.009	2.719	
		99.440				-1.466	1.924	115.846	-0.0350	0.046	2.766	
		99.450	99.00	99.26	-0.26							
		99.460				-1.403	4.241	110.938	-0.0335	0.101	2.648	
		99.480				-1.296	6.362	100.138	-0.0309	0.152	2.391	
		99.500	99.17	99.25	-0.09	-1.148	8.247	83.449	-0.0274	0.197	1.992	24.9
		99.520				-0.966	9.700	61.850	-0.0231	0.232	1.477	
		99.540				-0.760	10.721	40.252	-0.0182	0.256	0.961	
		99.550	99.54	99.26	0.29							
		99.560				-0.537	11.310	14.726	-0.0128	0.270	0.352	
		99.580				-0.308	11.310	-14.726	-0.0074	0.270	-0.352	
		99.600	99.78	99.26	0.52	-0.085	10.721	-46.142	-0.0020	0.256	-1.102	24.9
		99.620				0.121	9.464	-75.595	0.0029	0.226	-1.805	
		99.640				0.294	7.697	-100.138	0.0070	0.184	-2.391	
		99.650	99.66	99.25	0.41							
		99.660				0.429	5.459	-121.737	0.0102	0.130	-2.906	
		99.680				0.512	2.827	-132.536	0.0122	0.067	-3.164	
		99.700	99.34	99.25	0.08	0.542	0.157	-136.463	0.0129	0.004	-3.258	24.9
		99.720				0.518	-2.631	-139.408	0.0124	-0.063	-3.328	
		99.740				0.437	-5.419	-129.591	0.0104	-0.129	-3.094	
		99.750	99.03	99.25	-0.23							
		99.760				0.302	-7.815	-107.011	0.0072	-0.187	-2.555	
		99.780				0.124	-9.700	-80.503	0.0030	-0.232	-1.922	
		99.800	98.78	99.26	-0.48	-0.086	-11.035	-48.106	-0.0021	-0.263	-1.148	24.9
		99.820				-0.317	-11.624	-13.744	-0.0076	-0.277	-0.328	
		99.840				-0.551	-11.585	15.708	-0.0132	-0.277	0.375	
		99.850	98.55	99.25	-0.70							
		99.860				-0.781	-10.996	46.142	-0.0186	-0.263	1.102	
		99.880				-0.991	-9.739	72.649	-0.0237	-0.233	1.734	
		99.900	98.55	99.25	-0.70	-1.170	-8.090	91.303	-0.0279	-0.193	2.180	24.9
		99.920				-1.315	-6.087	105.047	-0.0314	-0.145	2.508	
		99.940				-1.414	-3.888	110.938	-0.0338	-0.093	2.648	
		99.950	98.73	99.25	-0.52							
		99.960				-1.470	-1.649	113.883	-0.0351	-0.039	2.719	
		99.980				-1.480	0.668	115.846	-0.0353	0.016	2.766	
		100.000	98.94	99.25	-0.31	-1.444	2.985	112.901	-0.0345	0.071	2.695	24.9
		100.020				-1.360	5.184	105.047	-0.0325	0.124	2.508	
		100.040				-1.236	7.186	93.266	-0.0295	0.172	2.227	
		100.050	99.18	99.25	-0.07							
		100.060				-1.073	8.914	74.613	-0.0256	0.213	1.781	
		100.080				-0.880	10.171	53.996	-0.0210	0.243	1.289	
		100.100	99.46	99.26	0.21	-0.666	11.074	30.434	-0.0159	0.264	0.727	24.9
		100.120				-0.437	11.388	-0.982	-0.0104	0.272	-0.023	
		100.140				-0.210	11.035	-29.452	-0.0050	0.263	-0.703	
		100.150	99.77	99.25	0.52							
		100.160				0.005	10.210	-56.941	1.1250E-4	0.244	-1.359	
		100.180				0.198	8.757	-85.412	0.0047	0.209	-2.039	
		100.200	99.72	99.24	0.48	0.355	6.794	-108.974	0.0085	0.162	-2.602	24.9
		100.220				0.470	4.398	-125.664	0.0112	0.105	-3.000	
		100.240				0.531	1.767	-135.481	0.0127	0.042	-3.234	
		100.250	99.32	99.25	0.07							
		100.260				0.540	-1.021	-142.354	0.0129	-0.024	-3.398	
		100.280				0.490	-3.927	-139.408	0.0117	-0.094	-3.328	
		100.300	99.07	99.25	-0.18	0.383	-6.597	-121.737	0.0091	-0.157	-2.906	24.9
		100.320				0.226	-8.796	-95.230	0.0054	-0.210	-2.273	
		100.340				0.031	-10.407	-65.777	7.5000E-4	-0.248	-1.570	
		100.350	98.75	99.25	-0.50							
		100.360				-0.190	-11.428	-35.343	-0.0045	-0.273	-0.844	
		100.380				-0.426	-11.820	-1.963	-0.0102	-0.282	-0.047	
		100.400	98.58	99.26	-0.67	-0.663	-11.506	34.361	-0.0158	-0.275	0.820	24.9
		100.420				-0.886	-10.446	62.832	-0.0212	-0.249	1.500	
		100.440				-1.081	-8.993	81.485	-0.0258	-0.215	1.945	
		100.450	98.56	99.25	-0.70							
		100.460				-1.246	-7.186	99.157	-0.0297	-0.172	2.367	
		100.480				-1.368	-5.027	109.956	-0.0327	-0.120	2.625	
		100.500	98.69	99.26	-0.57	-1.447	-2.788	111.919	-0.0345	-0.067	2.672	24.9
		100.520				-1.480	-0.550	112.901	-0.0353	-0.013	2.695	
		100.540				-1.469	1.728	114.865	-0.0351	0.041	2.742	
		100.550	98.97	99.25	-0.29							
		100.560				-1.411	4.045	109.956	-0.0337	0.097	2.625	
		100.580				-1.307	6.126	98.175	-0.0312	0.146	2.344	
		100.600	99.13	99.25	-0.12	-1.166	7.972	84.430	-0.0278	0.190	2.016	24.9
		100.620				-0.988	9.503	65.777	-0.0236	0.227	1.570	
		100.640				-0.785	10.603	42.215	-0.0188	0.253	1.008	
		100.650	99.49	99.25	0.24							
		100.660				-0.564	11.192	16.690	-0.0135	0.267	0.398	
		100.680				-0.338	11.270	-9.817	-0.0081	0.269	-0.234	
		100.700	99.74	99.25	0.49	-0.113	10.799	-41.233	-0.0027	0.258	-0.984	24.9
		100.720				0.094	9.621	-71.668	0.0022	0.230	-1.711	
		100.740				0.272	7.933	-96.211	0.0065	0.189	-2.297	
		100.750	99.71	99.25	0.46							
		100.760				0.412	5.773	-116.828	0.0098	0.138	-2.789	
		100.780				0.503	3.259	-129.591	0.0120	0.078	-3.094	
		100.800	99.40	99.26	0.15	0.542	0.589	-138.427	0.0129	0.014	-3.305	24.9
		100.820				0.526	-2.278	-141.372	0.0126	-0.054	-3.375	
		100.840				0.451	-5.066	-131.554	0.0108	-0.121	-3.141	
		100.850	99.06	99.26	-0.20							
		100.860				0.324	-7.540	-112.901	0.0077	-0.180	-2.695	
		100.880				0.149	-9.582	-86.394	0.0036	-0.229	-2.063	
		100.900	98.74	99.26	-0.52	-0.060	-10.996	-52.033	-0.0014	-0.263	-1.242	24.9
		100.920				-0.291	-11.663	-18.653	-0.0069	-0.278	-0.445	
		100.940				-0.526	-11.742	11.781	-0.0126	-0.280	0.281	
		100.950	98.57	99.26	-0.69							
		100.960				-0.760	-11.192	45.160	-0.0182	-0.267	1.078	
		100.980				-0.974	-9.935	72.649	-0.0233	-0.237	1.734	
		101.000	98.56	99.25	-0.70	-1.158	-8.286	91.303	-0.0276	-0.198	2.180	24.9
		101.020				-1.305	-6.283	106.029	-0.0312	-0.150	2.531	
		101.040				-1.409	-4.045	112.901	-0.0336	-0.097	2.695	
		101.050	98.70	99.25	-0.56							
		101.060				-1.467	-1.767	112.901	-0.0350	-0.042	2.695	
		101.080				-1.480	0.471	114.865	-0.0353	0.011	2.742	
		101.100	98.99	99.25	-0.26	-1.448	2.827	114.865	-0.0346	0.068	2.742	24.9
		101.120				-1.367	5.066	105.047	-0.0326	0.121	2.508	
		101.140				-1.246	7.029	91.303	-0.0297	0.168	2.180	
		101.150	99.15	99.25	-0.10							
		101.160				-1.085	8.718	74.613	-0.0259	0.208	1.781	
		101.180				-0.897	10.014	54.978	-0.0214	0.239	1.312	
		101.200	99.51	99.25	0.26	-0.685	10.917	32.398	-0.0164	0.261	0.773	24.9
		101.220				-0.460	11.310	3.927	-0.0110	0.270	0.094	
		101.240				-0.232	11.074	-27.489	-0.0056	0.264	-0.656	
		101.250	99.75	99.26	0.50							
		101.260				-0.017	10.210	-54.978	-4.1250E-4	0.244	-1.313	
		101.280				0.176	8.875	-79.522	0.0042	0.212	-1.898	
		101.300	99.69	99.25	0.44	0.338	7.029	-105.047	0.0081	0.168	-2.508	24.9
		101.320				0.457	4.673	-122.719	0.0109	0.112	-2.930	
		101.340				0.525	2.121	-131.554	0.0125	0.051	-3.141	
		101.350	99.38	99.25	0.13							
		101.360				0.542	-0.589	-139.408	0.0129	-0.014	-3.328	
		101.380				0.501	-3.456	-139.408	0.0120	-0.082	-3.328	
		101.400	99.04	99.25	-0.21	0.404	-6.165	-125.664	0.0096	-0.147	-3.000	24.9
		101.420				0.254	-8.482	-101.120	0.0061	-0.202	-2.414	
		101.440				0.064	-10.210	-71.668	0.0015	-0.244	-1.711	
		101.450	98.80	99.26	-0.46							
		101.460				-0.154	-11.349	-39.270	-0.0037	-0.271	-0.938	
		101.480				-0.390	-11.781	-4.909	-0.0093	-0.281	-0.117	
		101.500	98.57	99.25	-0.68	-0.625	-11.545	27.489	-0.0149	-0.276	0.656	24.9
		101.520				-0.851	-10.681	55.960	-0.0203	-0.255	1.336	
		101.540				-1.052	-9.307	79.522	-0.0251	-0.222	1.898	
		101.550	98.54	99.26	-0.72							
		101.560				-1.224	-7.501	98.175	-0.0292	-0.179	2.344	
		101.580				-1.352	-5.380	109.956	-0.0323	-0.128	2.625	
		101.600	98.71	99.26	-0.55	-1.439	-3.102	112.901	-0.0344	-0.074	2.695	24.9
		101.620				-1.477	-0.864	112.901	-0.0353	-0.021	2.695	
		101.640				-1.473	1.414	116.828	-0.0352	0.034	2.789	
		101.650	98.92	99.25	-0.33							
		101.660				-1.420	3.809	113.883	-0.0339	0.091	2.719	
		101.680				-1.321	5.969	101.120	-0.0315	0.142	2.414	
		101.700	99.16	99.25	-0.09	-1.181	7.854	86.394	-0.0282	0.187	2.063	24.9
		101.720				-1.007	9.425	68.722	-0.0240	0.225	1.641	
		101.740				-0.804	10.603	44.179	-0.0192	0.253	1.055	
		101.750	99.44	99.25	0.18							
		101.760				-0.583	11.192	17.671	-0.0139	0.267	0.422	
		101.780				-0.357	11.310	-7.854	-0.0085	0.270	-0.187	
		101.800	99.76	99.25	0.51	-0.130	10.878	-41.233	-0.0031	0.260	-0.984	24.9
		101.820				0.079	9.660	-71.668	0.0019	0.231	-1.711	
		101.840				0.256	8.011	-92.284	0.0061	0.191	-2.203	
		101.850	99.73	99.25	0.48							
		101.860				0.399	5.969	-112.901	0.0095	0.143	-2.695	
		101.880				0.495	3.495	-126.646	0.0118	0.083	-3.023	
		101.900	99.34	99.25	0.09	0.539	0.903	-134.500	0.0129	0.022	-3.211	24.9
		101.920				0.531	-1.885	-140.390	0.0127	-0.045	-3.352	
		101.940				0.463	-4.712	-132.536	0.0111	-0.112	-3.164	
		101.950	99.08	99.26	-0.18							
		101.960				0.342	-7.186	-113.883	0.0082	-0.172	-2.719	
		101.980				0.176	-9.268	-89.339	0.0042	-0.221	-2.133	
		102.000	98.78	99.26	-0.47	-0.028	-10.760	-54.978	-6.7500E-4	-0.257	-1.312	24.9
		102.020				-0.254	-11.467	-22.580	-0.0061	-0.274	-0.539	
		102.040				-0.487	-11.663	3.927	-0.0116	-0.278	0.094	
		102.050	98.59	99.25	-0.67							
		102.060				-0.721	-11.310	37.306	-0.0172	-0.270	0.891	
		102.080				-0.939	-10.171	68.722	-0.0224	-0.243	1.641	
		102.100	98.54	99.25	-0.71	-1.128	-8.561	88.357	-0.0269	-0.204	2.109	24.9
		102.120				-1.282	-6.637	102.102	-0.0306	-0.158	2.437	
		102.140				-1.393	-4.477	110.938	-0.0333	-0.107	2.648	
		102.150	98.67	99.26	-0.59							
		102.160				-1.461	-2.199	113.883	-0.0349	-0.052	2.719	
		102.180				-1.481	0.079	115.846	-0.0354	0.002	2.766	
		102.200	98.94	99.26	-0.32	-1.458	2.435	115.846	-0.0348	0.058	2.766	24.9
		102.220				-1.384	4.712	107.992	-0.0330	0.113	2.578	
		102.240				-1.269	6.754	95.230	-0.0303	0.161	2.273	
		102.250	99.11	99.25	-0.14							
		102.260				-1.114	8.522	79.522	-0.0266	0.203	1.898	
		102.280				-0.928	9.935	60.868	-0.0222	0.237	1.453	
		102.300	99.46	99.25	0.21	-0.716	10.956	35.343	-0.0171	0.262	0.844	24.9
		102.320				-0.490	11.349	6.872	-0.0117	0.271	0.164	
		102.340				-0.262	11.231	-21.598	-0.0063	0.268	-0.516	
		102.350	99.72	99.25	0.47							
		102.360				-0.041	10.485	-53.014	-9.7500E-4	0.250	-1.266	
		102.380				0.157	9.111	-80.503	0.0037	0.218	-1.922	
		102.400	99.73	99.25	0.47	0.324	7.265	-104.065	0.0077	0.173	-2.484	24.9
		102.420				0.448	4.948	-122.719	0.0107	0.118	-2.930	
		102.440				0.522	2.356	-132.536	0.0124	0.056	-3.164	
		102.450	99.32	99.26	0.06							
		102.460				0.542	-0.353	-138.427	0.0129	-0.008	-3.305	
		102.480				0.507	-3.181	-138.427	0.0121	-0.076	-3.305	
		102.500	99.07	99.25	-0.18	0.415	-5.890	-124.682	0.0099	-0.141	-2.977	24.9
		102.520				0.272	-8.168	-102.102	0.0065	-0.195	-2.438	
		102.540				0.088	-9.975	-75.595	0.0021	-0.238	-1.805	
		102.550	98.76	99.25	-0.49							
		102.560				-0.127	-11.192	-42.215	-0.0030	-0.267	-1.008	
		102.580				-0.360	-11.663	-8.836	-0.0086	-0.278	-0.211	
		102.600	98.59	99.25	-0.66	-0.594	-11.545	21.598	-0.0142	-0.276	0.516	24.9
		102.620				-0.822	-10.799	52.033	-0.0196	-0.258	1.242	
		102.640				-1.026	-9.464	76.576	-0.0245	-0.226	1.828	
		102.650	98.55	99.25	-0.70							
		102.660				-1.200	-7.736	94.248	-0.0287	-0.185	2.250	
		102.680				-1.335	-5.694	107.011	-0.0319	-0.136	2.555	
		102.700	98.68	99.26	-0.58	-1.428	-3.456	110.938	-0.0341	-0.083	2.648	24.9
		102.720				-1.473	-1.257	111.919	-0.0352	-0.030	2.672	
		102.740				-1.478	1.021	116.828	-0.0353	0.024	2.789	
		102.750	98.96	99.26	-0.30							
		102.760				-1.433	3.416	113.883	-0.0342	0.082	2.719	
		102.780				-1.341	5.576	102.102	-0.0320	0.133	2.438	
		102.800	99.12	99.25	-0.13	-1.210	7.501	88.357	-0.0289	0.179	2.109	24.9
		102.820				-1.041	9.111	71.668	-0.0249	0.218	1.711	
		102.840				-0.845	10.367	51.051	-0.0202	0.247	1.219	
		102.850	99.47	99.25	0.22							
		102.860				-0.627	11.153	24.544	-0.0150	0.266	0.586	
		102.880				-0.399	11.349	-3.927	-0.0095	0.271	-0.094	
		102.900	99.73	99.25	0.48	-0.173	10.996	-33.379	-0.0041	0.262	-0.797	24.9
		102.920				0.041	10.014	-64.795	9.7500E-4	0.239	-1.547	
		102.940				0.228	8.404	-91.303	0.0054	0.201	-2.180	
		102.950	99.72	99.25	0.46							
		102.960				0.377	6.362	-110.938	0.0090	0.152	-2.648	
		102.980				0.482	3.966	-125.664	0.0115	0.095	-3.000	
		103.000	99.42	99.25	0.17	0.536	1.335	-136.463	0.0128	0.032	-3.258	24.9
		103.020				0.536	-1.492	-142.354	0.0128	-0.036	-3.398	
		103.040				0.476	-4.359	-137.445	0.0114	-0.104	-3.281	
		103.050	99.06	99.25	-0.19							
		103.060				0.361	-6.990	-119.773	0.0086	-0.167	-2.859	
		103.080				0.196	-9.150	-91.303	0.0047	-0.218	-2.180	
		103.100	98.83	99.25	-0.42	-0.005	-10.642	-58.905	-1.1250E-4	-0.254	-1.406	24.9
		103.120				-0.229	-11.506	-26.507	-0.0055	-0.275	-0.633	
		103.140				-0.465	-11.702	3.927	-0.0111	-0.279	0.094	
		103.150	98.58	99.26	-0.68							
		103.160				-0.697	-11.349	35.343	-0.0167	-0.271	0.844	
		103.180				-0.919	-10.289	65.777	-0.0219	-0.246	1.570	
		103.200	98.54	99.26	-0.72	-1.109	-8.718	86.394	-0.0265	-0.208	2.062	24.9
		103.220				-1.268	-6.833	101.120	-0.0303	-0.163	2.414	
		103.240				-1.382	-4.673	108.974	-0.0330	-0.112	2.602	
		103.250	98.69	99.25	-0.56							
		103.260				-1.455	-2.474	110.938	-0.0347	-0.059	2.648	
		103.280				-1.481	-0.236	113.883	-0.0354	-0.006	2.719	
		103.300	98.90	99.25	-0.35	-1.464	2.081	114.865	-0.0350	0.050	2.742	24.9
		103.320				-1.398	4.359	107.992	-0.0334	0.104	2.578	
		103.340				-1.290	6.401	96.211	-0.0308	0.153	2.297	
		103.350	99.13	99.25	-0.12							
		103.360				-1.142	8.207	82.467	-0.0273	0.196	1.969	
		103.380				-0.961	9.700	62.832	-0.0230	0.232	1.500	
		103.400	99.39	99.25	0.14	-0.754	10.721	38.288	-0.0180	0.256	0.914	24.9
		103.420				-0.533	11.231	12.763	-0.0127	0.268	0.305	
		103.440				-0.305	11.231	-13.744	-0.0073	0.268	-0.328	
		103.450	99.74	99.25	0.49							
		103.460				-0.083	10.681	-45.160	-0.0020	0.255	-1.078	
		103.480				0.123	9.425	-76.576	0.0029	0.225	-1.828	
		103.500	99.76	99.26	0.51	0.294	7.618	-100.138	0.0070	0.182	-2.391	24.9
		103.520				0.427	5.419	-119.773	0.0102	0.129	-2.859	
		103.540				0.511	2.827	-130.573	0.0122	0.068	-3.117	
		103.550	99.40	99.25	0.14							
		103.560				0.540	0.196	-136.463	0.0129	0.005	-3.258	
		103.580				0.518	-2.631	-141.372	0.0124	-0.063	-3.375	
		103.600	99.11	99.26	-0.15	0.435	-5.459	-130.573	0.0104	-0.130	-3.117	24.9
		103.620				0.300	-7.854	-107.992	0.0072	-0.187	-2.578	
		103.640				0.121	-9.778	-82.467	0.0029	-0.233	-1.969	
		103.650	98.81	99.25	-0.44							
		103.660				-0.091	-11.153	-50.069	-0.0022	-0.266	-1.195	
		103.680				-0.325	-11.781	-13.744	-0.0078	-0.281	-0.328	
		103.700	98.60	99.25	-0.65	-0.562	-11.702	18.653	-0.0134	-0.279	0.445	24.9
		103.720				-0.793	-11.035	50.069	-0.0189	-0.263	1.195	
		103.740				-1.004	-9.700	76.576	-0.0240	-0.232	1.828	
		103.750	98.54	99.26	-0.72							
		103.760				-1.181	-7.972	93.266	-0.0282	-0.190	2.227	
		103.780				-1.323	-5.969	106.029	-0.0316	-0.143	2.531	
		103.800	98.64	99.25	-0.61	-1.420	-3.731	111.919	-0.0339	-0.089	2.672	24.9
		103.820				-1.472	-1.492	113.883	-0.0351	-0.036	2.719	
		103.840				-1.480	0.825	116.828	-0.0353	0.020	2.789	
		103.850	98.92	99.25	-0.34							
		103.860				-1.439	3.181	112.901	-0.0344	0.076	2.695	
		103.880				-1.352	5.341	103.084	-0.0323	0.128	2.461	
