Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
14,000	2,724	19,054	-36,600	0,0650	0,455	-0,874	14,000	-1,979	-24,017	27,960	-0,0472	-0,573	0,667	14,000	0,953	22,792	-16,336	0,0228	0,544	-0,390	14,000	-5,510	14,923	61,575	-0,1316	0,356	1,470	14,000	7,161	9,378	-85,608	0,1710	0,224	-2,044	14,000	-6,907	-7,131	83,881	-0,1649	-0,170	2,002	14,000	-6,974	5,749	79,325	-0,1665	0,137	1,894	14,000	-2,856	-23,641	36,128	-0,0682	-0,564	0,862	14,000	6,546	0,031	-75,555	0,1563	7,500E-4	-1,804	14,000	7,832	-2,922	-87,808	0,1870	-0,070	-2,096	14,000	4,580	12,346	-56,863	0,1093	0,295	-1,358	14,000	-3,247	-14,765	43,511	-0,0775	-0,353	1,039	14,000	1,016	16,902	-17,907	0,0243	0,404	-0,428	14,000	1,076	16,729	-17,436	0,0257	0,399	-0,416	14,000	6,066	-4,917	-66,916	0,1448	-0,117	-1,597	14,000	-4,436	-12,205	55,606	-0,1059	-0,291	1,328	14,000	-4,222	12,912	45,553	-0,1008	0,308	1,088	14,000	-3,462	-16,792	45,553	-0,0826	-0,401	1,088	14,000	-4,769	10,462	53,407	-0,1138	0,250	1,275	14,000	1,770	22,651	-24,190	0,0423	0,541	-0,578
14,050	3,630	16,980	-46,024	0,0867	0,405	-1,099	14,050	-3,145	-22,258	41,155	-0,0751	-0,531	0,982	14,050	2,072	21,630	-29,688	0,0495	0,516	-0,709	14,050	-4,687	17,750	51,051	-0,1119	0,424	1,219	14,050	7,523	4,964	-88,907	0,1796	0,119	-2,122	14,050	-7,158	-2,827	86,080	-0,1709	-0,068	2,055	14,050	-6,588	9,598	74,142	-0,1573	0,229	1,770	14,050	-3,991	-21,520	48,538	-0,0953	-0,514	1,159	14,050	6,453	-3,691	-72,885	0,1540	-0,088	-1,740	14,050	7,576	-7,210	-83,881	0,1809	-0,172	-2,002	14,050	5,126	9,346	-62,361	0,1224	0,223	-1,489	14,050	-3,929	-12,378	50,737	-0,0938	-0,295	1,211	14,050	1,838	15,771	-26,861	0,0439	0,376	-0,641	14,050	1,890	15,614	-26,546	0,0451	0,373	-0,634	14,050	5,737	-8,168	-62,675	0,1370	-0,195	-1,496	14,050	-4,976	-9,268	61,575	-0,1188	-0,221	1,470	14,050	-3,519	14,970	36,757	-0,0840	0,357	0,877	14,050	-4,244	-14,279	54,350	-0,1013	-0,341	1,297	14,050	-4,178	12,975	46,496	-0,0997	0,310	1,110	14,050	2,873	21,127	-36,600	0,0686	0,504	-0,874
14,100	4,422	14,451	-54,821	0,1056	0,345	-1,309	14,100	-4,205	-19,902	52,779	-0,1004	-0,475	1,260	14,100	3,116	19,823	-41,469	0,0744	0,473	-0,990	14,100	-3,735	20,028	39,741	-0,0892	0,478	0,949	14,100	7,658	0,487	-88,436	0,1828	0,012	-2,111	14,100	-7,190	1,477	84,509	-0,1716	0,035	2,017	14,100	-6,015	13,163	66,916	-0,1436	0,314	1,597	14,100	-5,008	-18,787	60,633	-0,1196	-0,449	1,447	14,100	6,176	-7,257	-69,115	0,1474	-0,173	-1,650	14,100	7,111	-11,310	-78,069	0,1698	-0,270	-1,864	14,100	5,515	6,110	-66,288	0,1317	0,146	-1,582	14,100	-4,485	-9,692	56,706	-0,1071	-0,231	1,354	14,100	2,593	14,216	-35,186	0,0619	0,339	-0,840	14,100	2,637	14,074	-34,715	0,0630	0,336	-0,829	14,100	5,250	-11,184	-57,177	0,1253	-0,267	-1,365	14,100	-5,363	-6,048	65,973	-0,1280	-0,144	1,575	14,100	-2,725	16,588	27,018	-0,0651	0,396	0,645	14,100	-4,890	-11,357	61,575	-0,1167	-0,271	1,470	14,100	-3,471	15,111	38,642	-0,0829	0,361	0,923	14,100	3,883	18,991	-48,223	0,0927	0,453	-1,151
14,150	5,075	11,498	-62,361	0,1212	0,275	-1,489	14,150	-5,135	-16,980	64,089	-0,1226	-0,405	1,530	14,150	4,054	17,483	-51,208	0,0968	0,417	-1,223	14,150	-2,684	21,724	27,960	-0,0641	0,519	0,668	14,150	7,571	-3,880	-85,923	0,1808	-0,093	-2,051	14,150	-7,010	5,623	80,582	-0,1674	0,134	1,924	14,150	-5,272	16,289	57,177	-0,1258	0,389	1,365	14,150	-5,870	-15,457	71,471	-0,1401	-0,369	1,706	14,150	5,727	-10,603	-64,089	0,1367	-0,253	-1,530	14,150	6,445	-15,017	-69,900	0,1539	-0,359	-1,669	14,150	5,737	2,717	-67,544	0,1369	0,065	-1,613	14,150	-4,898	-6,707	61,418	-0,1169	-0,160	1,466	14,150	3,259	12,252	-42,726	0,0778	0,293	-1,020	14,150	3,297	12,142	-42,254	0,0787	0,290	-1,009	14,150	4,618	-13,886	-50,108	0,1103	-0,332	-1,196	14,150	-5,581	-2,670	67,230	-0,1332	-0,064	1,605	14,150	-1,860	17,671	16,022	-0,0444	0,422	0,383	14,150	-5,380	-8,121	67,230	-0,1284	-0,194	1,605	14,150	-2,667	16,839	28,746	-0,0637	0,402	0,686	14,150	4,772	16,305	-58,120	0,1139	0,389	-1,388
14,200	5,572	8,215	-68,016	0,1330	0,196	-1,624	14,200	-5,903	-13,493	73,985	-0,1409	-0,322	1,766	14,200	4,865	14,703	-59,847	0,1161	0,351	-1,429	14,200	-1,563	22,824	15,237	-0,0373	0,545	0,364	14,200	7,270	-8,105	-81,996	0,1736	-0,194	-1,958	14,200	-6,627	9,535	74,927	-0,1582	0,228	1,789	14,200	-4,386	18,881	46,181	-0,1047	0,451	1,103	14,200	-6,553	-11,640	79,954	-0,1565	-0,278	1,909	14,200	5,116	-13,666	-56,863	0,1221	-0,326	-1,358	14,200	5,609	-18,300	-60,947	0,1339	-0,437	-1,455	14,200	5,787	-0,644	-65,973	0,1381	-0,015	-1,575	14,200	-5,155	-3,550	63,460	-0,1231	-0,085	1,515	14,200	3,819	9,943	-48,852	0,0912	0,237	-1,166	14,200	3,852	9,849	-48,538	0,0920	0,235	-1,159	14,200	3,861	-16,195	-41,626	0,0922	-0,387	-0,994	14,200	-5,630	0,675	65,659	-0,1344	0,016	1,568	14,200	-0,958	18,190	5,184	-0,0229	0,434	0,124	14,200	-5,702	-4,634	70,843	-0,1361	-0,111	1,691	14,200	-1,788	17,986	16,965	-0,0427	0,429	0,405	14,200	5,513	13,179	-66,131	0,1316	0,315	-1,579
14,250	5,897	4,697	-71,157	0,1408	0,112	-1,699	14,250	-6,484	-9,582	81,053	-0,1548	-0,229	1,935	14,250	5,524	11,498	-67,544	0,1319	0,275	-1,613	14,250	-0,402	23,248	1,100	-0,0096	0,555	0,026	14,250	6,761	-12,079	-76,027	0,1614	-0,288	-1,815	14,250	-6,057	13,116	67,544	-0,1446	0,313	1,613	14,250	-3,383	20,907	34,715	-0,0808	0,499	0,829	14,250	-7,034	-7,461	85,608	-0,1679	-0,178	2,044	14,250	4,361	-16,289	-47,752	0,1041	-0,389	-1,140	14,250	4,615	-21,112	-49,794	0,1102	-0,504	-1,189	14,250	5,672	-3,880	-62,832	0,1354	-0,093	-1,500	14,250	-5,253	-0,361	62,675	-0,1254	-0,009	1,496	14,250	4,254	7,367	-53,564	0,1016	0,176	-1,279	14,250	4,282	7,289	-53,093	0,1022	0,174	-1,268	14,250	2,999	-18,048	-31,573	0,0716	-0,431	-0,754	14,250	-5,513	3,896	62,518	-0,1316	0,093	1,492	14,250	-0,041	18,190	-5,341	-9,7500E-4	0,434	-0,128	14,250	-5,843	-1,037	70,843	-0,1395	-0,025	1,691	14,250	-0,869	18,535	5,969	-0,0207	0,443	0,142	14,250	6,090	9,692	-72,414	0,1454	0,231	-1,729
14,300	6,041	1,100	-70,843	0,1442	0,026	-1,691	14,300	-6,861	-5,388	84,980	-0,1638	-0,129	2,029	14,300	6,015	7,948	-72,885	0,1436	0,190	-1,740	14,300	0,762	22,934	-13,352	0,0182	0,548	-0,319	14,300	6,062	-15,708	-68,016	0,1447	-0,375	-1,624	14,300	-5,316	16,289	57,962	-0,1269	0,389	1,384	14,300	-2,295	22,352	22,462	-0,0548	0,534	0,536	14,300	-7,299	-3,079	87,493	-0,1743	-0,074	2,089	14,300	3,487	-18,441	-38,170	0,0832	-0,440	-0,911	14,300	3,498	-23,279	-37,228	0,0835	-0,556	-0,889	14,300	5,399	-6,927	-58,591	0,1289	-0,165	-1,399	14,300	-5,191	2,717	59,847	-0,1239	0,065	1,429	14,300	4,555	4,587	-56,706	0,1088	0,109	-1,354	14,300	4,580	4,540	-55,763	0,1094	0,108	-1,331	14,300	2,056	-19,352	-20,420	0,0491	-0,462	-0,487	14,300	-5,240	6,927	58,120	-0,1251	0,165	1,387	14,300	0,861	17,656	-15,394	0,0206	0,421	-0,367	14,300	-5,806	2,450	68,016	-0,1386	0,058	1,624	14,300	0,066	18,583	-4,398	0,0016	0,444	-0,105	14,300	6,483	5,938	-76,341	0,1548	0,142	-1,822
14,350	6,007	-2,388	-68,487	0,1434	-0,057	-1,635	14,350	-7,023	-1,084	85,608	-0,1677	-0,026	2,044	14,350	6,319	4,210	-75,084	0,1509	0,100	-1,792	14,350	1,891	21,913	-26,704	0,0451	0,523	-0,637	14,350	5,190	-18,881	-57,648	0,1239	-0,451	-1,376	14,350	-4,428	18,912	46,810	-0,1057	0,452	1,117	14,350	-1,148	23,154	8,954	-0,0274	0,553	0,214	14,350	-7,342	1,288	85,923	-0,1753	0,031	2,051	14,350	2,516	-20,106	-27,803	0,0601	-0,480	-0,664	14,350	2,287	-24,834	-24,190	0,0546	-0,593	-0,577	14,350	4,979	-9,739	-53,721	0,1189	-0,233	-1,283	14,350	-4,981	5,623	56,077	-0,1189	0,134	1,339	14,350	4,712	1,696	-56,863	0,1125	0,041	-1,357	14,350	4,736	1,712	-55,920	0,1131	0,041	-1,335	14,350	1,063	-20,091	-9,268	0,0254	-0,480	-0,221	14,350	-4,821	9,708	52,779	-0,1151	0,232	1,260	14,350	1,725	16,650	-24,976	0,0412	0,398	-0,596	14,350	-5,598	5,765	64,089	-0,1336	0,138	1,530	14,350	0,990	18,096	-14,765	0,0236	0,432	-0,352	14,350	6,684	2,058	-76,812	0,1596	0,049	-1,834
14,400	5,803	-5,749	-65,345	0,1385	-0,137	-1,560	14,400	-6,970	3,173	83,095	-0,1664	0,076	1,984	14,400	6,436	0,440	-74,613	0,1536	0,010	-1,781	14,400	2,953	20,263	-38,642	0,0705	0,484	-0,922	14,400	4,174	-21,473	-46,024	0,0996	-0,513	-1,099	14,400	-3,424	20,970	35,500	-0,0818	0,501	0,848	14,400	0,020	23,248	-5,498	4,8750E-4	0,555	-0,131	14,400	-7,171	5,513	82,153	-0,1712	0,132	1,961	14,400	1,477	-21,221	-16,022	0,0352	-0,507	-0,383	14,400	1,015	-25,698	-9,425	0,0242	-0,614	-0,225	14,400	4,425	-12,299	-47,752	0,1056	-0,294	-1,140	14,400	-4,629	8,325	51,365	-0,1105	0,199	1,226	14,400	4,725	-1,100	-54,350	0,1128	-0,026	-1,298	14,400	4,752	-1,052	-54,035	0,1134	-0,025	-1,290	14,400	0,047	-20,279	2,199	0,0011	-0,484	0,053	14,400	-4,269	12,205	46,181	-0,1019	0,291	1,103	14,400	2,526	15,158	-34,243	0,0603	0,362	-0,818	14,400	-5,229	8,859	58,748	-0,1248	0,212	1,402	14,400	1,876	17,106	-24,819	0,0448	0,408	-0,593	14,400	6,688	-1,744	-74,613	0,1597	-0,042	-1,781
14,450	5,432	-8,922	-60,633	0,1297	-0,213	-1,448	14,450	-6,706	7,226	78,383	-0,1601	0,173	1,871	14,450	6,363	-3,252	-72,100	0,1519	-0,078	-1,721	14,450	3,918	18,048	-49,009	0,0935	0,431	-1,170	14,450	3,043	-23,483	-33,929	0,0726	-0,561	-0,810	14,450	-2,331	22,462	23,405	-0,0557	0,536	0,559	14,450	1,177	22,604	-19,949	0,0281	0,540	-0,476	14,450	-6,791	9,503	76,498	-0,1621	0,227	1,826	14,450	0,394	-21,708	-2,670	0,0094	-0,518	-0,064	14,450	-0,283	-25,777	7,069	-0,0068	-0,615	0,169	14,450	3,749	-14,514	-40,055	0,0895	-0,347	-0,956	14,450	-4,148	10,760	45,553	-0,0990	0,257	1,088	14,450	4,602	-3,738	-51,522	0,1099	-0,089	-1,230	14,450	4,631	-3,691	-51,208	0,1106	-0,088	-1,223	14,450	-0,964	-19,871	14,294	-0,0230	-0,474	0,341	14,450	-3,600	14,326	38,013	-0,0860	0,342	0,908	14,450	3,241	13,226	-42,412	0,0774	0,316	-1,013	14,450	-4,712	11,640	52,150	-0,1125	0,278	1,245	14,450	2,700	15,614	-34,400	0,0645	0,373	-0,821	14,450	6,509	-5,404	-71,314	0,1554	-0,129	-1,703
14,500	4,910	-11,812	-54,507	0,1172	-0,282	-1,301	14,500	-6,247	11,011	72,257	-0,1491	0,263	1,725	14,500	6,110	-6,770	-68,173	0,1459	-0,162	-1,628	14,500	4,758	15,362	-57,805	0,1136	0,367	-1,380	14,500	1,825	-24,866	-20,420	0,0436	-0,594	-0,487	14,500	-1,178	23,311	9,582	-0,0281	0,557	0,229	14,500	2,281	21,253	-32,830	0,0545	0,507	-0,784	14,500	-6,220	13,163	69,272	-0,1485	0,314	1,654	14,500	-0,694	-21,489	10,996	-0,0166	-0,513	0,263	14,500	-1,563	-24,991	23,091	-0,0373	-0,597	0,551	14,500	2,974	-16,305	-30,945	0,0710	-0,389	-0,739	14,500	-3,553	12,881	38,485	-0,0848	0,308	0,919	14,500	4,351	-6,252	-48,381	0,1039	-0,149	-1,155	14,500	4,383	-6,173	-47,752	0,1046	-0,147	-1,140	14,500	-1,940	-18,850	26,546	-0,0463	-0,450	0,634	14,500	-2,837	16,006	28,431	-0,0677	0,382	0,679	14,500	3,848	10,917	-49,009	0,0919	0,261	-1,170	14,500	-4,065	14,074	44,611	-0,0970	0,336	1,065	14,500	3,437	13,666	-42,569	0,0821	0,326	-1,016	14,500	6,148	-8,875	-66,759	0,1468	-0,212	-1,594
14,550	4,251	-14,373	-46,967	0,1015	-0,343	-1,121	14,550	-5,605	14,451	63,774	-0,1338	0,345	1,522	14,550	5,686	-10,069	-63,303	0,1358	-0,240	-1,511	14,550	5,454	12,268	-65,816	0,1302	0,293	-1,571	14,550	0,556	-25,525	-5,341	0,0133	-0,609	-0,127	14,550	9,326E-15	23,421	-5,184	-2,7062E-16	0,559	-0,124	14,550	3,302	19,321	-43,511	0,0788	0,461	-1,039	14,550	-5,474	16,431	59,847	-0,1307	0,392	1,429	14,550	-1,755	-20,609	23,876	-0,0419	-0,492	0,570	14,550	-2,782	-23,468	36,914	-0,0664	-0,560	0,881	14,550	2,119	-17,609	-20,892	0,0506	-0,420	-0,499	14,550	-2,860	14,608	29,845	-0,0683	0,349	0,712	14,550	3,977	-8,577	-43,825	0,0950	-0,205	-1,046	14,550	4,013	-8,467	-43,511	0,0958	-0,202	-1,039	14,550	-2,849	-17,216	37,699	-0,0680	-0,411	0,900	14,550	-2,000	17,169	17,593	-0,0477	0,410	0,420	14,550	4,332	8,325	-54,035	0,1034	0,199	-1,290	14,550	-3,305	16,101	35,657	-0,0789	0,384	0,851	14,550	4,067	11,357	-49,323	0,0971	0,271	-1,177	14,550	5,622	-12,079	-60,790	0,1342	-0,288	-1,451
14,600	3,473	-16,509	-38,327	0,0829	-0,394	-0,915	14,600	-4,802	17,389	53,250	-0,1146	0,415	1,271	14,600	5,104	-13,100	-56,863	0,1218	-0,313	-1,357	14,600	5,985	8,781	-71,943	0,1429	0,210	-1,717	14,600	-0,727	-25,400	10,681	-0,0174	-0,606	0,255	14,600	1,164	22,792	-19,478	0,0278	0,544	-0,465	14,600	4,213	16,902	-52,936	0,1006	0,403	-1,264	14,600	-4,577	19,148	48,695	-0,1093	0,457	1,163	14,600	-2,755	-19,101	35,343	-0,0658	-0,456	0,844	14,600	-3,910	-21,300	49,480	-0,0933	-0,509	1,181	14,600	1,213	-18,394	-10,681	0,0289	-0,439	-0,255	14,600	-2,092	15,865	19,792	-0,0500	0,379	0,473	14,600	3,493	-10,634	-38,327	0,0834	-0,254	-0,915	14,600	3,536	-10,524	-38,170	0,0844	-0,251	-0,911	14,600	-3,662	-15,080	47,124	-0,0874	-0,360	1,125	14,600	-1,120	17,766	6,912	-0,0267	0,424	0,165	14,600	4,681	5,513	-57,648	0,1118	0,132	-1,376	14,600	-2,455	17,640	25,290	-0,0586	0,421	0,604	14,600	4,573	8,734	-54,978	0,1092	0,209	-1,312	14,600	4,940	-14,954	-52,936	0,1179	-0,357	-1,264
14,650	2,600	-18,206	-28,746	0,0621	-0,435	-0,686	14,650	-3,866	19,776	41,940	-0,0923	0,472	1,001	14,650	4,376	-15,755	-48,223	0,1045	-0,376	-1,151	14,650	6,332	5,074	-74,770	0,1512	0,121	-1,785	14,650	-1,984	-24,457	26,232	-0,0474	-0,584	0,626	14,650	2,279	21,473	-32,516	0,0544	0,513	-0,776	14,650	4,992	14,027	-61,732	0,1192	0,335	-1,474	14,650	-3,559	21,300	37,071	-0,0850	0,509	0,885	14,650	-3,665	-17,075	45,396	-0,0875	-0,408	1,084	14,650	-4,912	-18,520	61,261	-0,1173	-0,442	1,463	14,650	0,280	-18,677	-0,314	0,0067	-0,446	-0,007	14,650	-1,274	16,588	9,739	-0,0304	0,396	0,233	14,650	2,914	-12,409	-31,887	0,0696	-0,296	-0,761	14,650	2,961	-12,284	-31,102	0,0707	-0,293	-0,743	14,650	-4,357	-12,504	54,978	-0,1040	-0,299	1,313	14,650	-0,223	17,860	-3,142	-0,0053	0,426	-0,075	14,650	4,884	2,560	-58,905	0,1166	0,061	-1,406	14,650	-1,541	18,630	13,980	-0,0368	0,445	0,334	14,650	4,940	5,859	-58,748	0,1179	0,140	-1,403	14,650	4,126	-17,373	-43,511	0,0985	-0,415	-1,039
14,700	1,652	-19,384	-17,907	0,0395	-0,463	-0,428	14,700	-2,824	21,583	30,159	-0,0674	0,515	0,720	14,700	3,528	-17,923	-38,642	0,0842	-0,428	-0,923	14,700	6,492	1,304	-74,927	0,1550	0,031	-1,789	14,700	-3,173	-22,777	39,741	-0,0757	-0,544	0,949	14,700	3,311	19,541	-43,511	0,0790	0,467	-1,039	14,700	5,616	10,729	-68,958	0,1341	0,256	-1,646	14,700	-2,447	22,855	24,504	-0,0584	0,546	0,585	14,700	-4,463	-14,561	54,821	-0,1065	-0,348	1,309	14,700	-5,762	-15,174	71,943	-0,1376	-0,362	1,718	14,700	-0,655	-18,425	10,996	-0,0156	-0,440	0,263	14,700	-0,434	16,839	0,314	-0,0104	0,402	0,008	14,700	2,253	-13,823	-23,876	0,0538	-0,330	-0,570	14,700	2,308	-13,635	-23,248	0,0551	-0,326	-0,555	14,700	-4,912	-9,582	61,104	-0,1173	-0,229	1,459	14,700	0,666	17,452	-13,195	0,0159	0,417	-0,315	14,700	4,937	-0,377	-57,334	0,1179	-0,009	-1,369	14,700	-0,592	19,038	2,356	-0,0141	0,455	0,056	14,700	5,158	2,859	-60,004	0,1231	0,068	-1,433	14,700	3,203	-19,305	-32,830	0,0765	-0,461	-0,784
14,750	0,661	-19,996	-6,126	0,0158	-0,477	-0,146	14,750	-1,707	22,792	17,593	-0,0408	0,544	0,420	14,750	2,584	-19,619	-28,589	0,0617	-0,468	-0,682	14,750	6,462	-2,419	-73,042	0,1543	-0,058	-1,744	14,750	-4,262	-20,483	51,836	-0,1017	-0,489	1,237	14,750	4,233	17,122	-53,093	0,1011	0,409	-1,268	14,750	6,065	7,131	-73,670	0,1448	0,170	-1,759	14,750	-1,274	23,750	10,839	-0,0304	0,567	0,259	14,750	-5,121	-11,592	62,989	-0,1223	-0,277	1,504	14,750	-6,429	-11,325	80,268	-0,1535	-0,270	1,916	14,750	-1,563	-17,577	22,462	-0,0373	-0,420	0,536	14,750	0,410	16,619	-9,582	0,0098	0,397	-0,229	14,750	1,532	-14,797	-15,551	0,0366	-0,353	-0,371	14,750	1,598	-14,608	-15,551	0,0381	-0,349	-0,371	14,750	-5,316	-6,393	65,502	-0,1269	-0,153	1,564	14,750	1,522	16,540	-22,777	0,0363	0,395	-0,544	14,750	4,846	-3,173	-54,350	0,1157	-0,076	-1,297	14,750	0,363	18,865	-8,954	0,0087	0,450	-0,214	14,750	5,226	-0,141	-58,748	0,1248	-0,003	-1,402	14,750	2,196	-20,656	-21,206	0,0524	-0,493	-0,506
14,800	-0,347	-19,996	6,440	-0,0083	-0,477	0,154	14,800	-0,545	23,342	3,456	-0,0130	0,557	0,082	14,800	1,566	-20,782	-16,965	0,0374	-0,496	-0,405	14,800	6,250	-6,000	-69,586	0,1492	-0,143	-1,661	14,800	-5,221	-17,593	63,460	-0,1246	-0,420	1,515	14,800	5,023	14,231	-62,047	0,1199	0,340	-1,481	14,800	6,329	3,362	-75,555	0,1511	0,080	-1,804	14,800	-0,072	23,939	-4,241	-0,0017	0,572	-0,101	14,800	-5,622	-8,262	69,429	-0,1342	-0,197	1,657	14,800	-6,894	-7,147	85,608	-0,1646	-0,171	2,044	14,800	-2,413	-16,179	32,673	-0,0576	-0,386	0,780	14,800	1,228	15,881	-19,007	0,0293	0,379	-0,454	14,800	0,773	-15,378	-7,069	0,0185	-0,367	-0,169	14,800	0,847	-15,190	-7,069	0,0202	-0,363	-0,169	14,800	-5,551	-3,032	67,230	-0,1325	-0,072	1,605	14,800	2,320	15,174	-31,730	0,0554	0,362	-0,757	14,800	4,620	-5,812	-50,894	0,1103	-0,139	-1,215	14,800	1,294	18,143	-19,164	0,0309	0,433	-0,457	14,800	5,144	-3,016	-55,763	0,1228	-0,072	-1,331	14,800	1,137	-21,426	-9,425	0,0271	-0,512	-0,225
14,850	-1,338	-19,352	18,692	-0,0319	-0,462	0,446	14,850	0,627	23,138	-11,310	0,0150	0,552	-0,270	14,850	0,506	-21,316	-4,084	0,0121	-0,509	-0,098	14,850	5,862	-9,378	-64,717	0,1399	-0,224	-1,545	14,850	-6,021	-14,137	73,513	-0,1437	-0,338	1,755	14,850	5,656	10,917	-69,115	0,1350	0,261	-1,650	14,850	6,401	-0,424	-74,456	0,1528	-0,010	-1,777	14,850	1,120	23,326	-19,321	0,0267	0,557	-0,461	14,850	-5,947	-4,650	73,042	-0,1420	-0,111	1,744	14,850	-7,144	-2,765	87,493	-0,1706	-0,066	2,089	14,850	-3,181	-14,310	41,940	-0,0759	-0,342	1,001	14,850	1,998	14,718	-27,332	0,0477	0,351	-0,652	14,850	-0,006	-15,504	2,199	-1,5000E-4	-0,370	0,052	14,850	0,079	-15,315	2,199	0,0019	-0,366	0,052	14,850	-5,619	0,330	66,131	-0,1341	0,008	1,579	14,850	3,039	13,367	-39,898	0,0726	0,319	-0,952	14,850	4,265	-8,262	-46,653	0,1018	-0,197	-1,114	14,850	2,177	16,949	-28,903	0,0520	0,405	-0,690	14,850	4,924	-5,718	-52,150	0,1176	-0,136	-1,245	14,850	0,053	-21,598	2,985	0,0013	-0,516	0,071
14,900	-2,282	-18,127	29,688	-0,0545	-0,433	0,709	14,900	1,769	22,211	-24,976	0,0422	0,530	-0,596	14,900	-0,565	-21,190	9,111	-0,0135	-0,506	0,218	14,900	5,312	-12,472	-58,434	0,1268	-0,298	-1,395	14,900	-6,635	-10,242	80,896	-0,1584	-0,245	1,931	14,900	6,115	7,320	-73,827	0,1460	0,175	-1,763	14,900	6,286	-4,084	-71,628	0,1501	-0,098	-1,710	14,900	2,260	22,007	-32,201	0,0540	0,525	-0,769	14,900	-6,087	-0,958	73,042	-0,1453	-0,023	1,744	14,900	-7,171	1,602	85,451	-0,1712	0,038	2,040	14,900	-3,844	-11,985	49,637	-0,0918	-0,286	1,185	14,900	2,700	13,148	-35,186	0,0645	0,314	-0,840	14,900	-0,778	-15,158	11,467	-0,0186	-0,362	0,274	14,900	-0,685	-14,970	11,624	-0,0163	-0,357	0,277	14,900	-5,518	3,581	62,675	-0,1317	0,086	1,496	14,900	3,657	11,184	-46,653	0,0873	0,267	-1,114	14,900	3,793	-10,477	-41,469	0,0906	-0,250	-0,990	14,900	2,989	15,252	-38,485	0,0714	0,364	-0,919	14,900	4,573	-8,231	-48,066	0,1092	-0,197	-1,148	14,900	-1,023	-21,127	16,022	-0,0244	-0,504	0,382
