Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14
2,850;3,779;-39,788;-5,655;0,0902;-0,950;-0,135;2,850;11,266;-29,814;-98,175;0,2689;-0,712;-2,344;2,850;-7,901;13,038;77,440;-0,1886;0,311;1,849;2,850;-8,782;0,361;106,343;-0,2097;0,009;2,539;2,850;-6,776;-21,614;107,285;-0,1618;-0,516;2,561;2,850;0,256;-38,579;36,128;0,0061;-0,921;0,862;2,850;-6,362;-22,855;104,772;-0,1519;-0,546;2,501;2,850;-1,898;-35,798;59,533;-0,0453;-0,855;1,421;2,850;14,762;-0,283;-36,600;0,3524;-0,007;-0,874;2,850;-8,789;-0,723;108,856;-0,2098;-0,017;2,599;2,850;-4,569;-29,971;84,823;-0,1091;-0,715;2,025;2,850;-6,387;19,007;53,250;-0,1525;0,454;1,271;2,850;-8,621;-6,315;115,454;-0,2058;-0,151;2,756;2,850;-8,829;-1,272;109,956;-0,2108;-0,030;2,625
2,900;1,783;-39,443;18,221;0,0426;-0,942;0,435;2,900;9,651;-34,149;-73,985;0,2304;-0,815;-1,766;2,900;-7,152;16,619;64,874;-0,1707;0,397;1,549;2,900;-8,630;5,388;94,876;-0,2060;0,129;2,265;2,900;-7,720;-15,975;115,139;-0,1843;-0,381;2,749;2,900;-1,627;-36,270;56,235;-0,0389;-0,866;1,342;2,900;-7,372;-17,342;113,097;-0,1760;-0,414;2,700;2,900;-3,613;-32,343;76,969;-0,0862;-0,772;1,837;2,900;14,737;-3,644;-102,416;0,3518;-0,087;-2,445;2,900;-8,687;4,492;98,489;-0,2074;0,107;2,351;2,900;-5,961;-25,368;98,018;-0,1423;-0,606;2,340;2,900;-5,371;21,331;40,055;-0,1282;0,509;0,956;2,900;-8,790;-0,628;108,856;-0,2098;-0,015;2,599;2,900;-8,754;3,990;99,589;-0,2090;0,095;2,378
2,950;-0,165;-37,966;39,584;-0,0039;-0,906;0,945;2,950;7,851;-37,212;-50,266;0,1874;-0,888;-1,200;2,950;-6,239;19,525;51,522;-0,1489;0,466;1,230;2,950;-8,244;9,849;84,195;-0,1968;0,235;2,010;2,950;-8,374;-10,100;117,496;-0,1999;-0,241;2,805;2,950;-3,371;-32,955;74,142;-0,0805;-0,787;1,770;2,950;-8,096;-11,545;116,553;-0,1933;-0,276;2,782;2,950;-5,132;-28,102;91,735;-0,1225;-0,671;2,190;2,950;14,398;-10,524;-140,115;0,3437;-0,251;-3,345;2,950;-8,339;9,126;87,493;-0,1991;0,218;2,089;2,950;-7,106;-20,169;108,385;-0,1697;-0,482;2,588;2,950;-4,254;23,012;26,861;-0,1016;0,549;0,641;2,950;-8,683;4,571;98,175;-0,2073;0,109;2,344;2,950;-8,430;8,687;88,436;-0,2013;0,207;2,111
3,000;-2,014;-35,484;58,905;-0,0481;-0,847;1,406;3,000;5,930;-39,176;-28,903;0,1416;-0,935;-0,690;3,000;-5,199;21,771;38,642;-0,1241;0,520;0,922;3,000;-7,645;13,807;73,042;-0,1825;0,330;1,744;3,000;-8,730;-4,225;114,197;-0,2084;-0,101;2,726;3,000;-4,923;-28,856;88,750;-0,1175;-0,689;2,119;3,000;-8,526;-5,686;114,668;-0,2035;-0,136;2,738;3,000;-6,423;-23,169;104,615;-0,1533;-0,553;2,498;3,000;13,685;-17,656;-135,089;0,3267;-0,421;-3,225;3,000;-7,774;13,242;76,498;-0,1856;0,316;1,826;3,000;-7,978;-14,530;114,982;-0,1905;-0,347;2,745;3,000;-3,069;24,017;12,409;-0,0733;0,573;0,296;3,000;-8,333;9,189;87,022;-0,1989;0,219;2,078;3,000;-7,885;12,833;77,283;-0,1883;0,306;1,845
3,050;-3,713;-32,076;75,870;-0,0887;-0,766;1,811;3,050;3,933;-40,102;-5,969;0,0939;-0,957;-0,142;3,050;-4,062;23,389;25,133;-0,0970;0,558;0,600;3,050;-6,863;17,153;60,319;-0,1638;0,409;1,440;3,050;-8,796;1,319;105,243;-0,2100;0,032;2,512;3,050;-6,256;-24,080;102,259;-0,1494;-0,575;2,441;3,050;-8,665;-0,079;106,343;-0,2068;-0,002;2,539;3,050;-7,449;-17,640;113,726;-0,1778;-0,421;2,715;3,050;12,632;-24,033;-118,595;0,3016;-0,574;-2,831;3,050;-7,015;16,776;63,774;-0,1675;0,400;1,522;3,050;-8,559;-8,671;116,867;-0,2043;-0,207;2,790;3,050;-1,852;24,253;-3,927;-0,0442;0,579;-0,094;3,050;-7,764;13,273;75,870;-0,1854;0,317;1,811;3,050;-7,147;16,415;65,188;-0,1706;0,392;1,556
3,100;-5,221;-27,897;89,850;-0,1247;-0,666;2,145;3,100;1,920;-39,773;18,221;0,0458;-0,949;0,435;3,100;-2,860;24,285;9,111;-0,0683;0,580;0,217;3,100;-5,930;19,839;47,595;-0,1416;0,474;1,136;3,100;-8,599;6,299;93,777;-0,2053;0,150;2,239;3,100;-7,331;-18,630;112,469;-0,1750;-0,445;2,685;3,100;-8,534;4,948;94,719;-0,2037;0,118;2,261;3,100;-8,187;-11,797;117,653;-0,1954;-0,282;2,809;3,100;11,281;-29,515;-98,175;0,2693;-0,705;-2,344;3,100;-6,096;19,619;50,266;-0,1455;0,468;1,200;3,100;-8,845;-2,843;112,626;-0,2112;-0,068;2,689;3,100;-0,644;23,625;-19,792;-0,0154;0,564;-0,472;3,100;-7,006;16,776;63,617;-0,1672;0,400;1,519;3,100;-6,244;19,352;51,993;-0,1491;0,462;1,241
3,150;-6,503;-23,091;101,474;-0,1553;-0,551;2,422;3,150;-0,044;-38,280;39,584;-0,0011;-0,914;0,945;3,150;-1,634;24,300;-8,011;-0,0390;0,580;-0,191;3,150;-4,879;21,913;35,029;-0,1165;0,523;0,836;3,150;-8,167;10,697;82,624;-0,1950;0,255;1,973;3,150;-8,119;-12,833;117,024;-0,1938;-0,306;2,794;3,150;-8,170;9,393;83,881;-0,1950;0,224;2,002;3,150;-8,628;-5,875;115,925;-0,2060;-0,140;2,767;3,150;9,681;-33,851;-73,827;0,2311;-0,808;-1,763;3,150;-5,053;21,803;37,385;-0,1206;0,520;0,893;3,150;-8,844;2,592;102,887;-0,2111;0,062;2,456;3,150;0,511;22,274;-32,201;0,0122;0,532;-0,769;3,150;-6,087;19,635;50,266;-0,1453;0,469;1,200;3,150;-5,212;21,614;38,799;-0,1244;0,516;0,926
3,200;-7,530;-17,750;110,113;-0,1798;-0,424;2,629;3,200;-1,909;-35,814;58,905;-0,0456;-0,855;1,406;3,200;-0,430;23,483;-22,619;-0,0103;0,561;-0,540;3,200;-3,738;23,342;21,363;-0,0892;0,557;0,510;3,200;-7,529;14,561;71,314;-0,1797;0,348;1,703;3,200;-8,614;-6,927;116,710;-0,2057;-0,165;2,786;3,200;-7,595;13,336;73,042;-0,1813;0,318;1,744;3,200;-8,774;-0,204;108,071;-0,2095;-0,005;2,580;3,200;7,896;-36,898;-50,266;0,1885;-0,881;-1,200;3,200;-3,916;23,358;24,190;-0,0935;0,558;0,578;3,200;-8,586;7,446;91,892;-0,2050;0,178;2,194;3,200;1,583;20,405;-41,469;0,0378;0,487;-0,990;3,200;-5,042;21,803;37,071;-0,1204;0,520;0,885;3,200;-4,083;23,232;25,290;-0,0975;0,555;0,604
3,250;-8,278;-12,079;114,040;-0,1976;-0,288;2,723;3,250;-3,625;-32,390;76,341;-0,0866;-0,773;1,823;3,250;0,715;22,038;-33,772;0,0171;0,526;-0,806;3,250;-2,545;24,049;5,341;-0,0607;0,574;0,127;3,250;-6,710;17,829;58,434;-0,1602;0,426;1,395;3,250;-8,812;-1,162;110,113;-0,2104;-0,028;2,629;3,250;-6,836;16,698;60,633;-0,1632;0,399;1,448;3,250;-8,649;4,932;96,761;-0,2065;0,118;2,310;3,250;5,991;-38,877;-29,374;0,1430;-0,928;-0,701;3,250;-2,717;24,222;8,954;-0,0649;0,578;0,214;3,250;-8,099;11,781;81,053;-0,1934;0,281;1,935;3,250;2,551;18,127;-48,852;0,0609;0,433;-1,166;3,250;-3,907;23,342;23,719;-0,0933;0,557;0,566;3,250;-2,889;24,143;10,367;-0,0690;0,576;0,248
3,300;-8,738;-6,346;113,254;-0,2086;-0,152;2,704;3,300;-5,148;-28,180;90,635;-0,1229;-0,673;2,164;3,300;1,773;20,106;-42,726;0,0423;0,480;-1,020;3,300;-1,334;23,876;-11,467;-0,0318;0,570;-0,274;3,300;-5,746;20,405;45,239;-0,1372;0,487;1,080;3,300;-8,730;4,084;99,117;-0,2084;0,098;2,366;3,300;-5,925;19,399;47,595;-0,1414;0,463;1,136;3,300;-8,281;9,472;85,451;-0,1977;0,226;2,040;3,300;4,009;-39,835;-6,754;0,0957;-0,951;-0,161;3,300;-1,494;24,253;-7,697;-0,0357;0,579;-0,184;3,300;-7,408;15,551;68,801;-0,1769;0,371;1,642;3,300;3,396;15,519;-55,763;0,0811;0,370;-1,331;3,300;-2,708;24,175;8,325;-0,0646;0,577;0,199;3,300;-1,668;24,269;-5,812;-0,0398;0,579;-0,139
3,350;-8,913;-0,754;107,914;-0,2128;-0,018;2,576;3,350;-6,443;-23,326;102,416;-0,1538;-0,557;2,445;3,350;2,725;17,766;-50,423;0,0651;0,424;-1,204;3,350;-0,157;22,902;-25,133;-0,0037;0,547;-0,600;3,350;-4,670;22,352;32,516;-0,1115;0,534;0,776;3,350;-8,404;8,749;87,965;-0,2006;0,209;2,100;3,350;-4,896;21,457;35,029;-0,1169;0,512;0,836;3,350;-7,702;13,477;74,456;-0,1839;0,322;1,777;3,350;2,007;-39,553;17,436;0,0479;-0,944;0,416;3,350;-0,292;23,452;-22,777;-0,0070;0,560;-0,544;3,350;-6,544;18,661;55,449;-0,1562;0,445;1,324;3,350;4,103;12,551;-61,732;0,0979;0,300;-1,474;3,350;-1,489;24,175;-8,168;-0,0355;0,577;-0,195;3,350;-0,462;23,562;-21,363;-0,0110;0,562;-0,510
3,400;-8,814;4,445;98,646;-0,2104;0,106;2,355;3,400;-7,480;-17,939;111,055;-0,1786;-0,428;2,651;3,400;3,550;15,064;-57,177;0,0848;0,360;-1,365;3,400;0,957;21,363;-35,500;0,0228;0,510;-0,847;3,400;-3,511;23,656;18,378;-0,0838;0,565;0,439;3,400;-7,856;12,881;76,969;-0,1875;0,307;1,838;3,400;-3,779;22,902;22,148;-0,0902;0,547;0,529;3,400;-6,934;16,917;62,047;-0,1655;0,404;1,481;3,400;0,053;-38,092;39,113;0,0013;-0,909;0,934;3,400;0,851;21,975;-34,400;0,0203;0,525;-0,821;3,400;-5,542;21,096;42,254;-0,1323;0,504;1,009;3,400;4,651;9,346;-64,874;0,1110;0,223;-1,549;3,400;-0,291;23,358;-23,405;-0,0069;0,558;-0,559;3,400;0,688;22,133;-33,615;0,0164;0,528;-0,802
3,450;-8,468;9,111;87,965;-0,2022;0,218;2,100;3,450;-8,237;-12,221;115,139;-0,1967;-0,292;2,749;3,450;4,232;12,048;-62,518;0,1010;0,288;-1,493;3,450;1,979;19,352;-44,296;0,0473;0,462;-1,057;3,450;-2,304;24,190;1,885;-0,0550;0,578;0,045;3,450;-7,116;16,446;64,874;-0,1699;0,393;1,549;3,450;-2,606;23,672;6,283;-0,0622;0,565;0,150;3,450;-6,010;19,682;48,695;-0,1435;0,470;1,163;3,450;-1,802;-35,641;58,591;-0,0430;-0,851;1,399;3,450;1,905;20,012;-43,197;0,0455;0,478;-1,031;3,450;-4,434;22,887;29,374;-0,1059;0,546;0,701;3,450;5,038;6,063;-65,816;0,1203;0,145;-1,571;3,450;0,847;21,834;-34,872;0,0202;0,521;-0,833;3,450;1,751;20,200;-42,412;0,0418;0,482;-1,012
3,500;-7,903;13,242;76,655;-0,1887;0,316;1,830;3,500;-8,702;-6,425;114,354;-0,2078;-0,153;2,730;3,500;4,755;8,812;-65,345;0,1135;0,210;-1,560;3,500;2,892;16,933;-51,679;0,0690;0,404;-1,234;3,500;-1,092;23,845;-14,451;-0,0261;0,569;-0,345;3,500;-6,211;19,368;51,522;-0,1483;0,462;1,230;3,500;-1,412;23,531;-10,367;-0,0337;0,562;-0,248;3,500;-4,965;21,787;35,814;-0,1185;0,520;0,855;3,500;-3,511;-32,233;76,812;-0,0838;-0,770;1,834;3,500;2,853;17,656;-50,894;0,0681;0,421;-1,215;3,500;-3,253;24,033;15,080;-0,0777;0,574;0,360;3,500;5,257;2,765;-64,560;0,1255;0,066;-1,541;3,500;1,893;19,871;-43,040;0,0452;0,474;-1,028;3,500;2,708;17,891;-49,951;0,0646;0,427;-1,193
3,550;-7,144;16,776;64,089;-0,1706;0,400;1,530;3,550;-8,880;-0,785;109,013;-0,2120;-0,019;2,602;3,550;5,113;5,513;-65,973;0,1221;0,132;-1,575;3,550;3,673;14,184;-57,805;0,0877;0,339;-1,380;3,550;0,080;22,745;-27,646;0,0019;0,543;-0,660;3,550;-5,179;21,598;38,642;-0,1236;0,516;0,923;3,550;-0,253;22,635;-23,719;-0,0060;0,540;-0,566;3,550;-3,831;23,264;22,619;-0,0915;0,555;0,540;3,550;-5,025;-27,960;92,363;-0,1200;-0,667;2,205;3,550;3,671;14,923;-57,648;0,0876;0,356;-1,376;3,550;-2,031;24,394;-1,414;-0,0485;0,582;-0,034;3,550;5,314;-0,393;-60,633;0,1269;-0,009;-1,447;3,550;2,834;17,530;-50,737;0,0676;0,418;-1,211;3,550;3,541;15,205;-57,020;0,0845;0,363;-1,361
3,600;-6,225;19,651;50,580;-0,1486;0,469;1,207;3,600;-8,781;4,477;99,589;-0,2096;0,107;2,377;3,600;5,306;2,215;-64,560;0,1267;0,053;-1,541;3,600;4,310;11,153;-62,361;0,1029;0,266;-1,489;3,600;1,183;21,080;-37,699;0,0282;0,503;-0,900;3,600;-4,051;23,232;25,761;-0,0967;0,555;0,615;3,600;0,851;21,159;-34,558;0,0203;0,505;-0,825;3,600;-2,639;24,049;6,912;-0,0630;0,574;0,165;3,600;-6,307;-22,996;104,615;-0,1506;-0,549;2,497;3,600;4,345;11,891;-62,675;0,1037;0,284;-1,496;3,600;-0,814;23,892;-17,436;-0,0194;0,570;-0,416;3,600;5,218;-3,299;-54,978;0,1246;-0,079;-1,312;3,600;3,646;14,797;-57,648;0,0870;0,353;-1,376;3,600;4,229;12,189;-62,361;0,1009;0,291;-1,489
3,650;-5,179;21,834;37,071;-0,1236;0,521;0,885;3,650;-8,432;9,173;88,436;-0,2013;0,219;2,111;3,650;5,334;-0,942;-60,162;0,1274;-0,022;-1,436;3,650;4,788;7,948;-64,717;0,1143;0,190;-1,545;3,650;2,188;18,975;-45,867;0,0522;0,453;-1,095;3,650;-2,856;24,175;9,739;-0,0682;0,577;0,232;3,650;1,863;19,179;-42,883;0,0445;0,458;-1,024;3,650;-1,426;23,955;-9,896;-0,0340;0,572;-0,236;3,650;-7,325;-17,499;112,940;-0,1749;-0,418;2,696;3,650;4,860;8,655;-65,345;0,1160;0,207;-1,560;3,650;0,358;22,651;-30,473;0,0085;0,541;-0,727;3,650;4,984;-5,890;-49,166;0,1190;-0,141;-1,174;3,650;4,313;11,765;-62,518;0,1030;0,281;-1,492;3,650;4,760;8,969;-65,345;0,1136;0,214;-1,560
3,700;-4,042;23,358;23,562;-0,0965;0,558;0,563;3,700;-7,863;13,320;77,283;-0,1877;0,318;1,845;3,700;5,212;-3,801;-54,350;0,1244;-0,091;-1,298;3,700;5,105;4,681;-65,031;0,1219;0,112;-1,553;3,700;3,080;16,493;-53,250;0,0735;0,394;-1,271;3,700;-1,634;24,206;-7,383;-0,0390;0,578;-0,176;3,700;2,769;16,870;-49,951;0,0661;0,403;-1,193;3,700;-0,243;23,059;-23,876;-0,0058;0,550;-0,570;3,700;-8,057;-11,702;116,553;-0,1923;-0,279;2,782;3,700;5,210;5,356;-65,816;0,1244;0,128;-1,571;3,700;1,451;20,844;-40,212;0,0346;0,498;-0,960;3,700;4,629;-8,215;-43,511;0,1105;-0,196;-1,039;3,700;4,822;8,545;-65,345;0,1151;0,204;-1,560;3,700;5,126;5,655;-66,131;0,1224;0,135;-1,579
3,750;-2,843;24,190;8,482;-0,0679;0,578;0,202;3,750;-7,100;16,902;64,874;-0,1695;0,403;1,549;3,750;4,954;-6,377;-48,695;0,1183;-0,152;-1,163;3,750;5,256;1,445;-62,675;0,1255;0,034;-1,496;3,750;3,837;13,650;-59,219;0,0916;0,326;-1,414;3,750;-0,435;23,436;-21,834;-0,0104;0,559;-0,521;3,750;3,550;14,184;-56,706;0,0847;0,339;-1,354;3,750;0,880;21,567;-34,872;0,0210;0,515;-0,833;3,750;-8,495;-5,843;114,982;-0,2028;-0,140;2,745;3,750;5,396;2,073;-64,089;0,1288;0,050;-1,530;3,750;2,443;18,630;-47,909;0,0583;0,445;-1,144;3,750;4,163;-10,242;-36,757;0,0994;-0,244;-0,877;3,750;5,168;5,231;-66,131;0,1234;0,125;-1,579;3,750;5,325;2,356;-64,560;0,1271;0,056;-1,541
3,800;-1,623;24,206;-7,854;-0,0387;0,578;-0,188;3,800;-6,173;19,808;51,051;-0,1474;0,473;1,219;3,800;4,574;-8,671;-42,569;0,1092;-0,207;-1,016;3,800;5,250;-1,587;-57,962;0,1253;-0,038;-1,384;3,800;4,445;10,571;-63,146;0,1061;0,252;-1,507;3,800;0,710;22,023;-33,301;0,0169;0,526;-0,795;3,800;4,188;11,200;-61,261;0,1000;0,267;-1,462;3,800;1,913;19,572;-43,668;0,0457;0,467;-1,042;3,800;-8,641;-0,204;106,814;-0,2063;-0,005;2,550;3,800;5,418;-1,052;-59,690;0,1293;-0,025;-1,425;3,800;3,314;16,054;-54,978;0,0791;0,383;-1,312;3,800;3,605;-11,891;-28,903;0,0861;-0,284;-0,690;3,800;5,345;1,932;-63,931;0,1276;0,046;-1,526;3,800;5,361;-0,801;-60,319;0,1280;-0,019;-1,440
3,850;-0,423;23,405;-23,248;-0,0101;0,559;-0,555;3,850;-5,119;22,007;37,385;-0,1222;0,525;0,892;3,850;4,087;-10,634;-35,500;0,0976;-0,254;-0,847;3,850;5,097;-4,351;-52,308;0,1217;-0,104;-1,249;3,850;4,895;7,336;-65,345;0,1168;0,175;-1,560;3,850;1,767;20,106;-42,412;0,0422;0,480;-1,012;3,850;4,670;8,058;-63,617;0,1115;0,192;-1,519;3,850;2,837;17,200;-50,894;0,0677;0,411;-1,215;3,850;-8,515;4,838;94,719;-0,2033;0,115;2,261;3,850;5,290;-3,896;-54,035;0,1263;-0,093;-1,290;3,850;4,048;13,132;-60,947;0,0966;0,314;-1,455;3,850;2,974;-13,132;-20,420;0,0710;-0,313;-0,487;3,850;5,361;-1,162;-59,219;0,1280;-0,028;-1,414;3,850;5,245;-3,676;-54,664;0,1252;-0,088;-1,305
3,900;0,718;21,881;-35,186;0,0171;0,522;-0,840;3,900;-3,973;23,546;23,876;-0,0948;0,562;0,570;3,900;3,511;-12,221;-27,489;0,0838;-0,292;-0,656;3,900;4,814;-6,817;-46,496;0,1149;-0,163;-1,110;3,900;5,179;4,037;-65,188;0,1236;0,096;-1,556;3,900;2,721;17,781;-50,423;0,0649;0,424;-1,204;3,900;4,994;4,838;-64,089;0,1192;0,115;-1,530;3,900;3,633;14,483;-57,491;0,0867;0,346;-1,372;3,900;-8,157;9,268;83,724;-0,1947;0,221;1,999;3,900;5,028;-6,456;-48,538;0,1200;-0,154;-1,159;3,900;4,628;9,959;-64,874;0,1105;0,238;-1,549;3,900;2,292;-13,933;-11,624;0,0547;-0,333;-0,278;3,900;5,229;-3,990;-53,721;0,1248;-0,095;-1,282;3,900;4,994;-6,267;-49,009;0,1192;-0,150;-1,170
3,950;1,766;19,886;-43,511;0,0421;0,475;-1,039;3,950;-2,765;24,394;8,796;-0,0660;0,582;0,210;3,950;2,865;-13,383;-19,007;0,0684;-0,319;-0,454;3,950;4,416;-9,001;-40,212;0,1054;-0,215;-0,960;3,950;5,298;0,817;-61,889;0,1265;0,019;-1,478;3,950;3,545;15,064;-57,020;0,0846;0,360;-1,361;3,950;5,154;1,649;-61,732;0,1230;0,039;-1,474;3,950;4,285;11,451;-62,361;0,1023;0,273;-1,489;3,950;-7,589;13,210;72,728;-0,1812;0,315;1,736;3,950;4,645;-8,749;-42,412;0,1109;-0,209;-1,013;3,950;5,044;6,644;-66,445;0,1204;0,159;-1,586;3,950;1,580;-14,294;-2,670;0,0377;-0,341;-0,064;3,950;4,962;-6,535;-47,909;0,1185;-0,156;-1,144;3,950;4,618;-8,577;-42,883;0,1102;-0,205;-1,024
4,000;2,706;17,530;-50,894;0,0646;0,419;-1,215;4,000;-1,533;24,426;-7,854;-0,0366;0,583;-0,188;4,000;2,172;-14,121;-10,210;0,0519;-0,337;-0,244;4,000;3,914;-10,839;-32,987;0,0935;-0,259;-0,787;4,000;5,261;-2,152;-56,706;0,1256;-0,051;-1,354;4,000;4,227;12,079;-61,889;0,1009;0,288;-1,478;4,000;5,158;-1,335;-57,020;0,1231;-0,032;-1,361;4,000;4,778;8,247;-64,717;0,1141;0,197;-1,545;4,000;-6,836;16,540;60,319;-0,1632;0,395;1,440;4,000;4,153;-10,697;-35,029;0,0992;-0,255;-0,836;4,000;5,292;3,314;-65,345;0,1263;0,079;-1,560;4,000;0,862;-14,200;5,969;0,0206;-0,339;0,143;4,000;4,576;-8,781;-41,783;0,1092;-0,210;-0,997;4,000;4,136;-10,556;-35,971;0,0987;-0,252;-0,859
4,050;3,519;14,797;-57,805;0,0840;0,353;-1,380;4,050;-0,322;23,609;-23,405;-0,0077;0,564;-0,559;4,050;1,453;-14,404;-0,942;0,0347;-0,344;-0,022;4,050;3,332;-12,299;-25,290;0,0795;-0,294;-0,604;4,050;5,083;-4,854;-51,365;0,1213;-0,116;-1,226;4,050;4,753;8,875;-65,188;0,1135;0,212;-1,556;4,050;5,020;-4,053;-51,679;0,1198;-0,097;-1,234;4,050;5,110;4,979;-65,031;0,1220;0,119;-1,553;4,050;-5,934;19,242;47,752;-0,1417;0,459;1,140;4,050;3,575;-12,252;-27,332;0,0854;-0,292;-0,652;4,050;5,375;0,110;-61,732;0,1283;0,003;-1,474;4,050;0,160;-13,697;13,980;0,0038;-0,327;0,334;4,050;4,084;-10,713;-34,872;0,0975;-0,256;-0,832;4,050;3,563;-12,174;-28,117;0,0850;-0,291;-0,671
4,100;4,186;11,750;-62,832;0,0999;0,280;-1,500;4,100;0,828;22,085;-35,186;0,0198;0,527;-0,840;4,100;0,732;-14,216;7,854;0,0175;-0,339;0,187;4,100;2,684;-13,367;-16,965;0,0641;-0,319;-0,405;4,100;4,775;-7,289;-45,553;0,1140;-0,174;-1,087;4,100;5,115;5,561;-65,973;0,1221;0,133;-1,575;4,100;4,753;-6,503;-46,024;0,1135;-0,155;-1,099;4,100;5,276;1,744;-62,832;0,1260;0,042;-1,500;4,100;-4,912;21,316;35,186;-0,1173;0,509;0,840;4,100;2,928;-13,430;-18,850;0,0699;-0,321;-0,450;4,100;5,303;-2,859;-56,549;0,1266;-0,068;-1,350;4,100;-0,507;-12,802;21,363;-0,0121;-0,306;0,510;4,100;3,504;-12,268;-26,861;0,0837;-0,293;-0,641;4,100;2,919;-13,367;-19,321;0,0697;-0,319;-0,461
4,150;4,694;8,514;-65,188;0,1120;0,203;-1,556;4,150;1,887;20,091;-43,668;0,0450;0,480;-1,042;4,150;0,031;-13,619;15,551;7,5000E-4;-0,325;0,371;4,150;1,995;-13,996;-7,697;0,0476;-0,334;-0,184;4,150;4,354;-9,409;-38,956;0,1039;-0,225;-0,930;4,150;5,309;2,278;-64,089;0,1267;0,054;-1,530;4,150;4,370;-8,655;-39,898;0,1043;-0,207;-0,953;4,150;5,284;-1,304;-58,277;0,1262;-0,031;-1,391;4,150;-3,803;22,761;22,148;-0,0908;0,543;0,529;4,150;2,232;-14,137;-9,582;0,0533;-0,338;-0,229;4,150;5,089;-5,545;-50,894;0,1215;-0,132;-1,215;4,150;-1,120;-11,561;27,489;-0,0267;-0,276;0,656;4,150;2,857;-13,399;-18,378;0,0682;-0,320;-0,439;4,150;2,226;-14,106;-10,367;0,0531;-0,337;-0,248
4,200;5,038;5,231;-65,816;0,1203;0,125;-1,571;4,200;2,837;17,719;-51,208;0,0677;0,423;-1,222;4,200;-0,630;-12,661;22,619;-0,0150;-0,302;0,540;4,200;1,285;-14,137;1,257;0,0307;-0,338;0,030;4,200;3,834;-11,184;-31,730;0,0915;-0,267;-0,758;4,200;5,342;-0,848;-59,847;0,1275;-0,020;-1,429;4,200;3,888;-10,493;-32,987;0,0928;-0,251;-0,788;4,200;5,146;-4,084;-52,779;0,1229;-0,098;-1,260;4,200;-2,636;23,531;7,697;-0,0629;0,562;0,184;4,200;1,514;-14,389;-0,628;0,0362;-0,344;-0,015;4,200;4,749;-7,948;-44,925;0,1134;-0,190;-1,073;4,200;-1,663;-10,053;31,887;-0,0397;-0,240;0,761;4,200;2,165;-14,106;-9,425;0,0517;-0,337;-0,225;4,200;1,508;-14,404;-1,571;0,0360;-0,344;-0,038
4,250;5,217;1,932;-64,246;0,1245;0,046;-1,534;4,250;3,658;14,970;-58,120;0,0873;0,357;-1,388;4,250;-1,235;-11,357;28,589;-0,0295;-0,271;0,683;4,250;0,581;-13,870;9,268;0,0139;-0,331;0,221;4,250;3,236;-12,582;-23,719;0,0772;-0,300;-0,566;4,250;5,224;-3,707;-54,350;0,1247;-0,089;-1,297;4,250;3,321;-11,954;-25,133;0,0793;-0,285;-0,600;4,250;4,876;-6,582;-46,967;0,1164;-0,157;-1,121;4,250;-1,450;23,531;-8,168;-0,0346;0,562;-0,195;4,250;0,793;-14,200;8,011;0,0189;-0,339;0,191;4,250;4,295;-10,037;-38,170;0,1025;-0,240;-0,911;4,250;-2,125;-8,372;35,186;-0,0507;-0,200;0,840;4,250;1,447;-14,341;-0,157;0,0345;-0,342;-0,004;4,250;0,785;-14,263;7,226;0,0187;-0,341;0,173
