Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,310;-2,055;0,000;0,000;-0,0490500;0,000;0,000;3,7;3,6988831
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,320;-2,055;0,000;0,000;-0,0490500;0,000;0,000;3,7;3,7122498
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,330;-2,055;0,000;0,000;-0,0490500;0,000;0,000;3,7;3,6833038
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,340;-2,055;0,000;0,000;-0,0490500;0,000;0,000;3,7;3,6771088
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,350;-2,055;0,000;0,000;-0,0490500;0,000;0,000;3,7;3,6827545
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,360;-2,055;0,000;0,000;-0,0490500;0,000;0,000;3,7;3,6950073
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,370;-2,055;0,000;0,000;-0,0490500;0,000;0,000;3,7;3,6889648
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,380;-2,055;0,000;0,000;-0,0490500;0,000;0,000;3,7;3,7164764
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,390;-2,055;0,000;-3,927;-0,0490500;0,000;-0,094;3,7;3,6829529
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,400;-2,055;-0,079;-3,927;-0,0490500;-0,002;-0,094;3,7;3,6798096
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,410;-2,056;-0,079;3,927;-0,0490875;-0,002;0,094;3,7;3,6965942
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,420;-2,056;0,000;3,927;-0,0490875;0,000;0,094;3,7;3,6846924
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,430;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,7;3,6600647
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,440;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,7;3,6902771
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,450;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,7;3,6675415
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,460;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,7;3,6579895
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,470;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,6;3,6490326
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,480;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,7;3,6661682
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,490;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,6;3,6383972
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,500;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,6;3,6415558
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,510;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,6;3,6479645
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,520;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,6;3,6256866
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,530;-2,056;0,000;0,000;-0,0490875;0,000;0,000;3,6;3,6037598
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,540;-2,056;0,000;-3,927;-0,0490875;0,000;-0,094;3,6;3,6213074
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,550;-2,056;-0,079;-3,927;-0,0490875;-0,002;-0,094;3,6;3,6027527
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,560;-2,058;-0,079;3,927;-0,0491250;-0,002;0,094;3,6;3,5904388
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,570;-2,058;0,000;3,927;-0,0491250;0,000;0,094;3,6;3,6157227
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,580;-2,058;0,000;0,000;-0,0491250;0,000;0,000;3,6;3,5767517
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,590;-2,058;0,000;0,000;-0,0491250;0,000;0,000;3,6;3,5577850
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,600;-2,058;0,000;0,000;-0,0491250;0,000;0,000;3,6;3,5515747
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,610;-2,058;0,000;0,000;-0,0491250;0,000;0,000;3,6;3,5642853
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,620;-2,058;0,000;0,000;-0,0491250;0,000;0,000;3,5;3,5391083
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,630;-2,058;0,000;0,000;-0,0491250;0,000;0,000;3,5;3,5260010
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,640;-2,058;0,000;-3,927;-0,0491250;0,000;-0,094;3,5;3,5459747
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,650;-2,058;-0,079;-3,927;-0,0491250;-0,002;-0,094;3,5;3,5257416
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,660;-2,059;-0,079;3,927;-0,0491625;-0,002;0,094;3,5;3,5118103
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,670;-2,059;0,000;3,927;-0,0491625;0,000;0,094;3,5;3,5342865
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,680;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,5;3,5100250
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,690;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,5;3,4907532
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,700;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,5;3,4777222
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,710;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,5;3,4832764
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,720;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,5;3,4575806
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,730;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,5;3,4593658
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,740;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,5;3,4694824
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,750;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,4;3,4349060
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,760;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,4;3,4273682
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,770;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,4;3,4479218
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,780;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,4;3,4308777
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,790;-2,059;0,000;0,000;-0,0491625;0,000;0,000;3,4;3,4246674
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,800;-2,059;0,000;-3,927;-0,0491625;0,000;-0,094;3,4;3,4417114
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,810;-2,059;-0,079;-3,927;-0,0491625;-0,002;-0,094;3,4;3,4201508
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,820;-2,061;-0,079;3,927;-0,0492000;-0,002;0,094;3,4;3,3951721
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,830;-2,061;0,000;3,927;-0,0492000;0,000;0,094;3,4;3,3891754
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,840;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,4;3,3972015
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,850;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,4;3,3797607
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,860;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,4;3,3765106
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,870;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,4;3,4016876
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,880;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,4;3,3809357
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,890;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,4;3,3540344
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,900;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,4;3,3860168
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,910;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,4;3,3653259
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,920;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,3347473
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,930;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,3323059
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,940;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,3277740
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,950;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,2998657
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,960;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,2922821
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,970;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,2997589
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,980;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,2785492
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89,990;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,2641602
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,000;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,2865295
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,010;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,2595215
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,020;-2,061;0,000;0,000;-0,0492000;0,000;0,000;3,3;3,2583008
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,030;-2,061;0,000;-3,927;-0,0492000;0,000;-0,094;3,3;3,2810974
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,040;-2,061;-0,079;-3,927;-0,0492000;-0,002;-0,094;3,3;3,2567749
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,050;-2,062;-0,079;3,927;-0,0492375;-0,002;0,094;3,2;3,2472229
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,060;-2,062;0,000;3,927;-0,0492375;0,000;0,094;3,2;3,2411194
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,070;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,2;3,2437134
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,080;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,2;3,2167511
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,090;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,2;3,2103882
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,100;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,2;3,2279968
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,110;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,2;3,1897430
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,120;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,2;3,1754456
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,130;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,2;3,1878662
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,140;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,2;3,1644135
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,150;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,1;3,1334839
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,160;-2,062;0,000;0,000;-0,0492375;0,000;0,000;3,1;3,1304932
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,170;-2,062;0,000;-3,927;-0,0492375;0,000;-0,094;3,1;3,1189880
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,180;-2,062;-0,079;-3,927;-0,0492375;-0,002;-0,094;3,1;3,0853271
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,190;-2,064;-0,079;3,927;-0,0492750;-0,002;0,094;3,1;3,0879211
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,200;-2,064;0,000;3,927;-0,0492750;0,000;0,094;3,1;3,0844116
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,210;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,1;3,0610657
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,220;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,1;3,0747375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,230;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,0;3,0462646
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,240;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,0;3,0302429
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,250;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,0;3,0486450
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,260;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,0;3,0137634
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,270;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,0;2,9835510
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,280;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,0;2,9829865
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,290;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,0;2,9610596
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,300;-2,064;0,000;0,000;-0,0492750;0,000;0,000;3,0;2,9509430
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,310;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,9459076
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,320;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,9169159
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,330;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,9275513
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,340;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,9174194
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,350;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,9190063
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,360;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,9293823
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,370;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,9142151
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,380;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8979950
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,390;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8855286
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,400;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8729706
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,410;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8735352
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,420;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8744507
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,430;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8536377
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,440;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8462219
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,450;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8484497
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,460;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8436737
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,470;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8592834
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,480;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8524780
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,490;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8374634
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,500;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8527222
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,510;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8489685
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,520;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8581696
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,530;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8674316
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,540;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8549652
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,550;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8700256
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,560;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,9;2,8633118
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,570;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8437805
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,580;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8411865
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,590;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8286743
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,600;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8089294
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,610;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8152466
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,620;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,8028259
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,630;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,7673798
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,640;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,7911377
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,650;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,7728271
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,660;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,7628021
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,670;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,7795410
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,680;-2,064;0,000;0,000;-0,0492750;0,000;0,000;2,8;2,7608185
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,690;-2,064;0,000;-3,927;-0,0492750;0,000;-0,094;2,8;2,7624969
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,700;-2,064;-0,079;-3,927;-0,0492750;-0,002;-0,094;2,8;2,7614746
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,710;-2,066;-0,079;3,927;-0,0493125;-0,002;0,094;2,7;2,7346191
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,720;-2,066;0,000;3,927;-0,0493125;0,000;0,094;2,7;2,7353363
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,730;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,7;2,7404175
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,740;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,7;2,7219543
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,750;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,7;2,7203369
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,760;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,7;2,7134094
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,770;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,7;2,6911316
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,780;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,7;2,7048187
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,790;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,7;2,6672363
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,800;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,6;2,6477051
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,810;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,7;2,6540527
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,820;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,6;2,6213531
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,830;-2,066;0,000;0,000;-0,0493125;0,000;0,000;2,6;2,5901184
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,840;-2,066;0,000;-3,927;-0,0493125;0,000;-0,094;2,6;2,5737000
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,850;-2,066;-0,079;-3,927;-0,0493125;-0,002;-0,094;2,5;2,5115356
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,860;-2,067;-0,079;3,927;-0,0493500;-0,002;0,094;2,5;2,4611359
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,870;-2,067;0,000;3,927;-0,0493500;0,000;0,094;2,4;2,4469452
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,880;-2,067;0,000;0,000;-0,0493500;0,000;0,000;2,4;2,4199829
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,890;-2,067;0,000;0,000;-0,0493500;0,000;0,000;2,4;2,4301605
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,900;-2,067;0,000;0,000;-0,0493500;0,000;0,000;2,4;2,4255829
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,910;-2,067;0,000;0,000;-0,0493500;0,000;0,000;2,4;2,4161224
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,920;-2,067;0,000;0,000;-0,0493500;0,000;0,000;2,4;2,4047852
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,930;-2,067;0,000;-3,927;-0,0493500;0,000;-0,094;2,4;2,3903351
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,940;-2,067;-0,079;-3,927;-0,0493500;-0,002;-0,094;2,3;2,3424683
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,950;-2,069;-0,079;3,927;-0,0493875;-0,002;0,094;2,3;2,3428345
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,960;-2,069;0,000;-5,580E-12;-0,0493875;0,000;-1,332E-13;2,2;2,2416077
